,Date,How Helpful,Review Contents,Score,Title
10,"on January 26, 2018","
      6 people found this helpful.
    ","These are super headsets. I've collected six headsets over several years, but these are the best, and terrific. The larger H1 earpad is more comfortable than any, and the sound is fabulous. Connection was easy. The price is very reasonable, too; I considered several others at much higher price, with less features.As a Christmas present, my wife liked them but said they were too heavy for her; she retreated to earbuds. So I've now got them for my own use, and I'm happy -- the best I've ever had. I haven't tried the phone feature yet, but if it didn't work at all I'd still rate these 5 stars.",5.0 out of 5 stars,Best headsets I've ever had.
11,"on November 24, 2017","
      15 people found this helpful.
    ","I’ve never had $500 pair of headphones on, nor will I ever.  These Mpow H1 headphones are amazing.  They produce a kick’n bass, crispy highs, and vocals that are true.  I tried these with Jimi, AC/DC, SRV, 2CELLOS, (if you’ve never seen or heard these guys with 2 cellos, do yourself a favor and check ‘em out), and a bunch of other music I have.  I’m at least 10 hours on the initial charge and still going strong.  I don’t know what else to say other than these are good...REAL GOOD.",5.0 out of 5 stars,An absolute steal at this price!!!
12,"on December 31, 2017","
      4 people found this helpful.
    ","Very comfortable. Extremely loud. Great sound. Only a few minor complaints and personal preferences that I have with them. One is that the sound leaks out pretty bad but I didn't buy them to not annoy my neighbor in a close quarter, I bought them for loud stereo sound, it just would have put these over the top and made me comfortable blasting my music that others might look down on me for listening to. Next thing is I've had multiple Bluetooth devices (a couple from mpow) that were for one ear where volume up/down buttons were long pressed to track up/down. It's reversed on this headset. Long press increases and decreases volume while the first press of the positive/negative buttons changes the track. Personal preference of mine i know but I understand these are designed to be used for listening to music and secondarily used for calls unlike the other ones I've had. Lastly the pair mode is a 4 sec long hold of the phone button but so is power off. So every time I want to power down I hold it until it says ""disconnected"", ""pairing"", and after another two or three seconds ""power off"". I really think pair mode should be long press + and - together for 4 seconds. It would eliminate that annoyance entirely and take some commands off of the phone key. Those minor complaints are more to improve future models if the company reads these. Would absolutely purchase again.",5.0 out of 5 stars,"Great headset, nitpicky complaints"
13,"on January 20, 2018","
      4 people found this helpful.
    ","These headphones by Mpow are amazing! I was extremely shocked. I lost my headphones at the gym thanks to the New Year rush and was on the fence about buying the Bluetooth Apple headphones or Beats but couldn’t bring myself to spend so much money no matter how much I tried to justify I needed them. I did some digging online and found these decent reviews compared to others. I’ve gotten compliments on them because they are extremely stylish. It’s also really cold in NY right now so when I wear these it feels like I’m wearing earmuffs because they block out the cold. They also have a sort of noise blocking effect so you don’t hear all of the chatter or background noise so sometimes I wear these at work when everyone is being loud. I love how easy it is to connect to my phone because I’m not super tech savvy and I think the sound quality is great. If you’re really into that loud thumping bass these might not be for you because you definitely don’t get that big boom you would like a more expensive brand, which doesn’t bother me because I still think my music sounds good. Another reason these are great is the cushion. I don’t love earbuds because I get ear infections a lot because I have chronic sinus issues so the cushion helps so my ear isn’t as irritated. I find the large ‘old school’ headphones without the cushion so the speaker is still straight on your ear hurts my ear so all in all I am happy with this purchase.",5.0 out of 5 stars,An Affordable Choice
14,"on February 22, 2018","
      2 people found this helpful.
    ","These have quickly become my favorite way to listen to music. I have a pair at work and at home. They are very light and comfortable and sound great. I did have an issue initially with my computer, but it had to do with the codec for Bluetooth on my Apple computer. I enabled AAC and AptX and now they sound great. I knew it was not the headphones as they sounded great on my iPhone X and when using the provided cable. The Bluetooth range is longer than other headphones. I can listen throughout my house even if my phone is stationary. The controls are simple, just 3 buttons on the right side. The middle one powers the headphones on/off, pauses music, and pairs Bluetooth. The right one, turns the volume up when held down for a few seconds or skips the track if pressed once. The left button turns the volume down (pressing for a few seconds) or goes back a track with a single press. The headphones also have audio voice feedback which is very helpful in a lovely British voice. (Power on, Pairing, Power off, etc.) While they are not noise cancelling, they do block out ambient noise which is great in a noisy office environment, but may not be safe if walking outside. These Mpow headphones are well made and designed. For $36, they are a bargain.",5.0 out of 5 stars,"Lightweight, comfortable and sound great"
15,"on February 24, 2018","
      2 people found this helpful.
    ","For me they are better then two others I have, Sennheiser RS120 and an Amazon Basics set.  The RS120 set has had a lot of popping and cracking noises in it from day one and the Amazon Basics have an annoying habit of cutting out for about 1sec once ever couple minutes.  These headphones have no similar issues and I love them.  I am not an audiophile by any means, at 73yrs young my hearing is nothing compared to younger years but I can tell that these phones have great sound and to my hearing sound better than the other two.I gave it 5 stars anyway but on the con side there is a minor issue with the bluetooth connection.  Everytime I power them on I get the voice saying ""Power On"" then it says ""Connected"" and then it says ""Disconnected"" But the thing is, it does not connect until it says ""Disconnected"", only then does the sound come through??  I suppose it could have something to do with the BT transmitter but in any case it is a minor issue.",5.0 out of 5 stars,Much better than my previous 2 sets.
16,"on March 28, 2018","
      2 people found this helpful.
    ","UPDATE on April 2, 2018:  Patozon has TERRIFIC customer service. They sent me a new set of headphones that arrived today.  I did not even know they were sending them to me. What a surprise! Terrific service, and a company that monitors it's social media and customer reviews as well. Great job Mpow!Patozon Customer Service:  Please advise as to the following problem:  NOTE:  One problem has showed up with the headphones. The ""Next Song"" and ""Volume Up"" buttons are integrated into one button. One short click changes to the next song, while ""Press and Hold"" increases the volume. Same thing, but in reverse, for the ""Volume Down"" and ""Last Song"" button.  At first it was hard to increase the volue without simply moving one song ahead, but I thought I solved that problem by pressing and holding the button for several seconds (during which time I heard the volume increase by several levels).  However, after only a couple days it's almost impossible now to change the volumn without the song advancing, even after I press and hold.  The song advances after the volume raises and after I reelase the button.So I have removed two stars for this issue. Really disappointed as, other than that, these are great headphones as noted in my full review below.----Over the past week I have tried three different headphones. The first was the Mpow 059. To be honest, they seemed pretty ""basic"". I would have been satisified with them, but the pause button did not work, so I returned them in favor of a pair of Ausdom ANC8. I liked those much better than the Mpow 059. However, there was no charging cord in the box, so I opted to return them as well.Today the Mpow H1 arrived. When I opened the box I knew they were going to be great. They ae so light that I thought perhaps the box was empty, but they were inside! They are incredibly light. After using the other two sets earlier this week, I was very pleased with how little they weigh and how it's almost hard to tell they are on your head. In addtion,In addition, they are gorgeous. A bit retro, with the wire sliders exposed on the side for adjustment, but I think it's a really nice look. The adjust easily and fit nicely on the head. The ear cups are oval shaped rather than round, so they cover the ear nicely (most ears are higher than they are wide, so I never quite understood how round ear cups were a good engineering choice).  I purchased the black pair with the grey padding under the headpiece, as well as a subtle grey colored trim piece around the exterior of the ear cups. Very attractive looking.Then, I turned them on. Amazing. I was shocked at the quality.  Good bass, but sharp and true mid and high notes as well. The vocals jump out of the ear cups. Terrific quality music. I was amazed. I could not be more pleased. And, let me tell you, these suckers can get *loud*.  Much more so than either of the two headphone sets I had to return this week. Knock your socks off loud, with no apparent loss of fidelity.In addtion, I noticed that the earcups block out much more exterior sound than either of the others I used this week. Very sound deadening.  A quick test showed they leaeked less sound out than the other two models, too.These headphones blew me away. I would spend several times more money for this quality. At $38.99 they are an incredible value.So:  1) They look great  2) They are lightweight and comfortable  3) The sound rivals headphones that cost hundreds of dollars more.No brainer.",5.0 out of 5 stars,"(With One Problem) Wow - Amazing quality, great looks, lightweight. Should be named MWOW instead of Mpow."
17,"on January 28, 2018","
      3 people found this helpful.
    ","I can now play my ""very old"", and ""just acquired"" baby grand piano while my wife watches tv with the Mpow HI Bluetooth Headphones. My wife loves it, as I just began this ""hobby"" only a year ago. And at 73, I am proud of the fact that I play half way decent, but the Mpow still helps my wife, who otherwise loves my playing.  I also highly recommend the following: Bluetooth Audio Adapter- Cingk Bluetooth 4.1 Transmitter and Receiver, 2-In-1 3.5mm Wireless Audio Adapter Car Kit for TV / Home Stereo System,Headphones,Speakers, MP3 / MP4,iPhone and More to connect. The negative comments I have seen are, I believe, a failure to read directions. ThisCing Bluetooth 4.1 Transmitter and Receiver works fine on our 10+ year old TV as well as the Mpw H! Bluetooth Headphones Over EAR Lightweight, Comfortable for Prolonged Wearing, Hi-Fi Stereo Wireless Headphones, Foldable Headset w/ Built-in Mic and Wired Mode for PC/ Cell Phones I give it a 5 star rating as well. You might need a magnifyer to read the instructions, or you can do what i did with our Brother MFCL5900DW Business Monochrome Laser : All-in-One with Advanced Duplex and Wireless Networking, which i aso gave a 5 star rating because unlike HP, i see no effort on Brothers part to disable aftermarket products for this machine. I purcahsed this machine from Amazon as well. (I was able to purchase 5 high capacity afermarket cartridges for this device at less than one standard capacity from brother. .............. I ""blew up the fine print on the Cing to read instructions with my Brotherr. Since I am the only make of a family of 4 children, I can now say I have a real BROTHER with my PRINTER. Thanks Amazon, Thanks brother and thanks Mpow, and finally thanks CING. you all get a 5 star rating, and Amazon gets a 10 star rating for excellent service, including resolving small issues in comparison to their 10 star customer service. AMAZON.... BEZOSE YOU GOT ME HOOKED.",5.0 out of 5 stars,I also highly recommend the following
18,"on March 25, 2018","
      One person found this helpful.
    ","Disclaimer: I am no audiophile, a little hard of hearing most likely due to youth and lifestyle. I also have done a considerable amount of reading/research on the best/most comfortable/durable economical wireless headphones (TMI) and purchased these after being very disappointed in a highly rated pair of a major name brand.Other than a decent sound range I was most interested in comfort, being able to wear the phones for several hours at a time.I was impressed with these out of the box. They appear well made have a good range of motion and adjustability on the head and are very comfortable. The ear cups are soft , supple, and well padded as is the headband which is very flexible and appears will fit most any size head.I used these with a Avantree Priva lll transmitter on a Samsung TV and although these are not aptX LL there was no out of sync (lag) between the video and sound to the headphones(a huge plus).I use headphones every day for several hours and have for years and can say although not the quality of sound they are as or possibly more comfortable as a pair of Bose I have that cost a couple hundred $$.For $38 I consider these a key buy.",5.0 out of 5 stars,Low $$ High Quality
19,"on January 8, 2018","
      One person found this helpful.
    ","As soon as I opened the package, I was happy. Solid, soft, light, and comfortable are the words that come to mind. You just feel quality right away. The controls are intuitive and getting them to connect to my TV and my phone was easy. They sound amazing. My one initial concern was that they did not sound loud enough, even with my phone turned up all the way. Reading the manual I learned that the plus and minus signs do double duty. quick press changes the song, long press changes the volume, and not just on the source device like some Bluetooth devices. These seem to have their own volume control beyond that of the source device and I could make them louder than was comfortable, so they certainly get the job done.I cannot yet speak to battery life or how they hold up to long term use, but 18 hours after I unboxed them, I am amazed they were less than $40. I have not been this happy with a purchase in a long time. Also, I have not yet tried to use them for a phone call as that is not why I bought them. My primary use is with my new 4K TV after my wife goes to bed. I like TV loud, and this way I can listen at the volume I want without disturbing her.",5.0 out of 5 stars,Build quality and sound quality are triple what you would expect for $40. Comfortable and easy controls.
20,"on November 27, 2017","
      5 people found this helpful.
    ","Pretty easy to connect to a Bluetooth transmitter. Bought this for my grandparents to connect to the TV so they could hear without having cords running across the floor. At least from the TV sound it was a little light on the bass, but that could just be the source. One cool thing was that my granddad could hear what we were saying when he wore them which is unusual.",4.0 out of 5 stars,Pretty easy to connect to a Bluetooth transmitter
21,"on January 25, 2018","
      One person found this helpful.
    ","**Update** The company contacted me right away after this review and offered to send me another pair to try.  The representative was friendly, courteous, and most importantly, focused on making this a great experience for me, their customer.  I am happy to say that the replacement pair fit me better and worked better for my individual needs.I would not hesitate to recommend that s company and their products to anyone.  Great customer service is becoming a thing of the past, but this company is doing their best to bring it back.I ordered these headphones instead of another pair of the same brand because these were recommended by the company for comfort.  The sound is good, they work well for calls, the range away from my phone is ok, the charge holds for a long time.  They are comfortable, both the war pieces and the headband are padded and comfortable, but the ear pieces are huge.  They come way below my ear and interfere with my jaw.  So crazy!  I think I'm going to have to send these back and order something else.",5.0 out of 5 stars,"Comfortable, but huge on my average size ears"
22,"on February 7, 2018","
      8 people found this helpful.
    ","Not an audiophile but I love the bluetooth and strong head connection for the gym. The sound is very crisp, it holds charges well and connects and disconnects automatically which I love. It's almost the best wireless headphones I've had.I wish the buttons were a little better; maybe have a separate button for volume? I have to time the way I push the FF/REW buttons to change the volume.two cons: I wish they weren't so tough on the bending in the band; it hurts my head after more than an hour of wear.I wish it somehow didnt get so hot and sweaty after an hour at the gym. I have to take them off and blow on the earpads to get rid of the sweat and cool it down.Would prefer more colors.",4.0 out of 5 stars,Not an audiophile but I love the bluetooth and strong head connection for the gym
23,"on January 10, 2018","
      5 people found this helpful.
    ",Found these to be very disappointing and not well made. The padded ear cushion fell off within minutes of use.  I ended up gluing it back in place. I would not recommend.,1.0 out of 5 stars,Do not purchase
24,"on March 11, 2018",,"I know the manufacturer recommends to fully charge the headphones before using them but I was so excited that I only had them charging for a few minutes before I powered it on and paired it (seamlessly) with my android phone. It connected within seconds, and they sound amazing! The ear cups are also extremely comfortable and the headphones are so lightweight you can barely feel them. On that note there is some sound leakage for me because I have a small head and small ears (but that's a very common thing for me with over the ear headphones.) There is no recognizable static (wireless) and they manage to sound even better wired. The wireless connection length is truly 33 feet (maybe even a little further, better than any Bluetooth headphones I've ever owned at any price point!) I was able to go all the way upstairs, to the kitchen, to the bathroom, and it wasn't until I got to the mid back half of my house that it cut out, but as soon as I got back in range it automatically reconnected (I've owned a few pairs of wireless headphones that need to be manually paired after they disconnect when you get out of distance.) They even came with a nice gray velvet carrying bag, as well as the usb charger and cord for wired listening. As others have mentioned the mic is pretty bad (dropped calls, low quality sound) so if your primary use is calls, these won't work for you.For those of you who skim, or don't have the patience to read the above review:Pros:-Sound quality-Comfort-Look way more expensive than they are-Long battery life-Both wireless and wired (with included cord)-Very lightweight-Huge connection distance on Bluetooth (can go far from device)Cons:-(If you have a small head) there may be sound leakage-mic is bad (dropped calls, low quality sound)",5.0 out of 5 stars,Exceeded expectations
25,"on February 5, 2018","
      5 people found this helpful.
    ",I enjoy these headphones and would recommend them as a cost effective alternative to the big brands!,5.0 out of 5 stars,Look elsewhere.
26,"on February 17, 2018","
      2 people found this helpful.
    ","Easy to set up and the sound is spot on. Easy to set up two devices, comfortable.  Crisp sounds when on blue tooth.  My apple 6+ shows the battery level of headphones. I'm happy with this purchase and you will be too. Totally immersed in the sound. Why pay more when you can have lots for less Money...You will Enjoy them.This is my own review and I have not been compensated for my statements.  If you found this helpful please indicate so. Thank you.",5.0 out of 5 stars,Easy to set up and the sound is spot on
