,Date,How Helpful,Review Contents,Score,Title
21,"on September 21, 2017","
      11 people found this helpful.
    ",4:240:00This video is not intended for all audiences. What date were you born?JanuaryFebruaryMarchAprilMayJuneJulyAugustSeptemberOctoberNovemberDecember1234567891011121314151617181920212223242526272829303120182017201620152014201320122011201020092008200720062005200420032002200120001999199819971996199519941993199219911990198919881987198619851984198319821981198019791978197719761975197419731972197119701969196819671966196519641963196219611960195919581957195619551954195319521951195019491948194719461945194419431942194119401939193819371936193519341933193219311930192919281927192619251924192319221921192019191918191719161915191419131912191119101909190819071906190519041903190219011900SubmitAdobe Flash Player is required to watch this video.Install Flash Player These headphones are perfect!,5.0 out of 5 stars,Best Headphones
22,"on January 12, 2018","
      5 people found this helpful.
    ","I have Mpow 059 and Mpow H2 Bluetooth Over Ear Headphones, Mpow IPX7 Bluetooth Earbuds, Sennheiser wireless headphones, and Bose noise-canceling wired headphones.The Sennheiser, Bose, and Mpow earbuds are comfortable to wear for hours. The Mpow 059 headphones clamp my head and give me headaches. I hate wearing them. The Mpow H2 aren't any better.I took the rubber tips off the earbuds and they don't occlude my hearing, i.e., I can hear normally. The Mpow headphones block my hearing, but, unlike my Bose noise-cancelling headphones, the Mpow headphones don't actively reduce background noise. If I need to reduce background noise (e.g., on airplanes) then I'll wear my Bose headphones, not the Mpow headphones. Clamping headphones tightly onto your ears isn't a good way to reduce background noise.Lastly, I couldn't get the Mpow headphone controls to work properly. The problem may be that I can't see the headphones controls with the headphones on, but I can't hear the messages when I take the headphones off, so I hold the button down too long or not long enough, and it goes into pairing mode when I want to power off the headphones, etc. In contrast, with the Mpow earbuds I can remove the right earbud (with the controls) while leaving the left earbud in my ear. I can look at the controls on the right earbud and hold the correct button down until I hear the message in the left earbud, ""Power off"", etc. After a few hours I'm starting to manipulate the controls without removing the earbud from my ear. The Sennheiser headphones have separate switches and knobs for power, volume, and frequency, all of which are easy to use.",2.0 out of 5 stars,"Uncomfortable, headaches, poor UI"
23,"on December 11, 2017","
      9 people found this helpful.
    ","These seemed to be solid, awesome headphones but as of today they mysteriously stopped being able to charge and prematurely died on me at work after showing half battery life 10 min prior. Had high hopes for these headphones as my job is very physical, hands on,  up to 12 hour shifts but very disappointed now. Shows no red light indicating charging with multiple chargers on different outlets.",1.0 out of 5 stars,Let me down
24,"on December 1, 2017","
      5 people found this helpful.
    ","This headphone is plastic construction.  It does fit an adult female with small ears rather snuggly and securely. It is NOT adjustable.  Due to plastic construction, this headset should be handled carefully as trying to over extend will most likely cause cracking or worse.  The interior padding on top of head makes it quite comfortable but by no means do I think it will prevent it from breakage if forced.  The ear pads are comfortable.  The bluetooth easily linked to my iPhone 6P.  It took a bit to connect to an iPod nano, but once connected it now easily pairs.  At local gym, it does connect to the bluetooth equipment but it can take some doing each time to pair.  The range is decent, 30-40 feet, but once out of range, it disconnects and must be paired again.  In terms of sound, using it for standard tv on gym equipment the sound is FAIR;  using it with my Apple device music the sound is GOOD.  It can feel and sound like being in a vacuum which probably is due to the headset being tight on the head/ears.  The max volume is not very loud, when pairing to phone, iPod and television each device itself must be set on the loudest setting.  On gym equipment, the volume is very low even with equipment at max volume and headset at max volume.  The volume control doesn't really seem to work.  I also own a Bose headset and the sound quality of Bose is amazing. MPOW is not amazing, not even close.  Again, this was purchased under $30 for the sole intention of being a headset to use at the gym.  It doesn't flop on head, is secure and serves the purpose it was intended for.  I would not recommend this for anyone that wants a headset to listen to music or surround sound television.",3.0 out of 5 stars,Used At the Gym
25,"on June 27, 2017","
      6 people found this helpful.
    ","Overall impression, these are great headphones for the price but, perhaps due to the size of my head, I can't wear them for longSOUND QUALITY: I'm really impressed with these headphones considering the price range they're in.  The sound is crystal clear and they're great at minimizing sound intrusion.  My neighbors were doing some serious construction the other day and I couldn't hear them with these headphones on.  These don't provide a massive bass experience but what you'll hear is the best I've experienced for headphones under $100FIT:  For starters, I'm 6'2"" and always have a hard time finding head-related gear (think sunglasses, hats) that fits properly.  I don't know why head stuff is so challenging for me.  Maybe I'm an alien, but these are too tight on my head.  The padding, both on the ears and on the top of the head, is great but I can still only stand wearing them for 15-20 minutes at a time before my ears can't take the pressure anymore.BONUS: I didn't realize from the picture but these fold down to a compact size really nicely.  They'll make for great travel headphones!",4.0 out of 5 stars,"Great headphones, just a little tight on my ears"
26,"on September 5, 2017","
      5 people found this helpful.
    ","I have been shopping around for some good over the ear wireless headphones for a while, and decided on these. I looked at Bose Soundlink II, Beats Studio Wireless, SkullCandy Crusher Wireless, Sony Xtra Bass wireless, and more. I finally decided to get these, after realizing that $200+ was just too much for headphones. I have yet to be disappointed.These headphones are, most noticeably, built surprisingly well. They are a glossy black with red trim, and the red is a soft rubbery feeling. The sliding mechanism is stainless steel, and the folding has a tactile 'click' into place when opened.The audio is good. It's not mind blowing, nor is the bass, but it's fairly well rounded and a solid performance, especially for anything in this price range. For the price, they're amazing.I've used the mic for only one phone call, the other caller was unaware but did not complain and I never had to repeat myself, so I guess it works well enough though that's not why I bought them.The headphones pair easily enough with two devices, and can play from either one at a time. Powering off if slightly awkward, as it tries to go into pairing before finally shutting off (holding the power/call/pause/play button).These headphones come with an aux cable to connect them to a standard headphone jack, which was an absolute requirement for me, as I don't want to be reliant on a battery all of the time. They seem to sound slightly better when connected with the backup audio cable, but that might just be my prejudice. The wireless function, if already turned on, will silently deactivate/power off when the aux cable is connected saving the battery. However, because of that, you lose audio/talk controls when using the aux cable. Not a big deal, most wired headphones don't control the music.Battery life is rated at 12 hours, but I cannot accurately judge that as I usually use them wired. Projected battery life based on what I've used would seem that a 12 hour rating is probably pretty accurate, I havent drained them down past 80% according to my iphone's battery display (yes when paired with iphone it will give the headset's battery level)Overall, I am ecstatic with these headphones. They even come with a nice velvety drawstring bag to pack them in when not in use. Good sound, good comfort, good battery life, good features, great price.",5.0 out of 5 stars,I have been shopping around for some good over the ear wireless headphones for a while
27,"on October 29, 2017","
      9 people found this helpful.
    ","The sound quality is fair for headphone under 40 dollars. However, it sounds like a small speaker on my head in a quiet place. If you like to share your music with anyone sitting next to you in a quiet library or anywhere quiet, then go ahead and purchased this headphone. I've returned mine and I hope this review helps.",1.0 out of 5 stars,Terrible sound isolation
28,"on February 10, 2018","
      19 people found this helpful.
    ","I have always had earbuds and avoided earmuff style headphones like these because of their size, however I am planning on doing quite a bit of traveling in the next few months and wanted something to block out the drone of airplane engines.  I have always been told the sound quality in this type of headphones is exceptional compared to earbuds, and these headphones are highly rated so I thought I would give them a try. I was quite disapointed by the sound quality, I'm  not sure if it's this style of headphones not living up to the hype, or just these particular headphones but I have $5 earbuds that sound better. I originally gave two stars becuase I was actually pleasantly surprised by how well these headphones fit and how well they did blocking other noises in the room.I took one star back off for durability, after some limited use these headphones do not seem like they will hold up very well, maybe if you used them at your desk or something but to be portable I have some serious doubts about how well they will hold up... mine already have significantly more flex in them than they did a week ago and I'm afraid that means they're going to break any time now...",1.0 out of 5 stars,Good fit but sound quality and durability are lacking...
29,"on January 11, 2018","
      6 people found this helpful.
    ","I read a ton of reviews before buying this product and I was super excited to love them and use them daily. However, I ran into a bit of a snag...First, all of the things I love about the Mpow 059: - They sync with my devices very quickly. (quicker than my $300 headphones) - I love that they talk to me and tell me what commands I have given. (e.g. Push the power button and it will tell you ""powering on"" or if your headphones are already on it says ""pairing"" ""phone one paired"") - I love that I can feel the volume  and track forward and back buttons easily - I love the ear padding, it feels good on your ears as opposed to the cheap snap-crackle-pop you get with some of the other ear covers out there.Now for where things went wrong for me. - The reviews I read mentioned a long charging cord one even showed a 4 ft cord in the review video. My charging chord was a little over a foot and a half. Not a huge deal but certainly not helpful when I want to charge my headphones while wearing them in bed. - The biggest challenge with these headphones was size. I had the headphones set at the smallest setting and there was no tension to keep them on my ears so the band across the top of the earphones put a painful amount of pressure on the top of my head. I wore them for a couple of days, adjusting the band on top of my head forward or back to try and alleviate the pain but no luck.I love so much about these headphones, I wish they worked for me but I just can't take head pain.I hesitate sending them back, I'm not sure I want to deal with the hassle so I may just donate them to some lucky person (with a larger head).Just be warned, if you have a smaller head you may want to keep looking. Insert sad face here.",2.0 out of 5 stars,If you have a smaller head you may want to keep looking.
30,"on April 27, 2017","
      60 people found this helpful.
    ","These are the most badass pair of headphones. A friend of mine recommended the ear bud type headphones of this brand, but ear buds tend to fall out of my tiny ears. These had solid reviews and thankfully came in a color other than red/black, so I snatched them up! Awesome purchase. Sound quality is awesome. They fit over my ear, so they effectively cancel out noise unless someone were to come right up to me and speak. I don't think I could hear them if I had music playing. They also came with an AUX cord and charging cable but no wall plug. FYI And they came with a pretty sweet gray suede(?) carrying case! No complaints whatsoever. However, I should mention that I haven't had them long enough to test out the battery seeing as I only got them yesterday and would never want to wear them for 12+ hours.",5.0 out of 5 stars,A friend of mine recommended the ear bud type headphones of this brand
