,Edifier H650 Hi-Fi On-Ear Headphones - Noise-isolating Foldable and Lightweight Headphone - Fit Adults and Kids - Blue
11,"I wanted cheap over-hear headphones for the subway. I'm a woman with a small head, and these are comfortable on me. These sound great for the price, with no noise leakage that I can detect. They were also able to block out a mariachi band on the subway.

I've paired them with the Nexum AQUA Portable Battery-Free, In-Line Headphone DAC and Amplifier - Android MicroUSB, Space Grey. I store them in the Samaz Pen Bag Pencil Case Large Capacity Canvas Pencil Bag Pouch Stationary Case Makeup Cosmetic Bag (Light Blue) in my purse."
12,Earbuds make my ears itch so I wanted something comfortable with a low profile (so they wouldn't be knocking into things if I was wearing them lying down). The sound seems to be very good...though I haven't used them much for music yet...mostly doing work on my laptop and watching things on Netflix or Hulu. I looked at a lot of headphones before ordering these and am satisfied with my choice.
13,"My granddaughter needed headphones to take to school and these were absolutely perfect. They fit her great, appear pretty sturdy and have withstood transporting back and forth from home to school in her backpack since the beginning of the school year. The sound quality appears good and have been worth the price. I would definitely recommend these for children.

These were delivered when expected and in perfect condition."
14,"These are great headphones, especially for the price. They're comfortable, block a lot of external noise, and the sound is great. I bought them for my 90-year-old dad so he can listen to his Natl Geographic shows on his I-Pad without my mother having to hear the sounds of animals attacking animals. I know it's part of nature, but not especially entertaining for most of us. And I bought the bright orange so the old fart won't lose them. Now everyone is happy!"
15,"I needed a new pair of headphones after my Bose headphones decided to die after owning them for 5 years. I use headphones when I workout at the gym, jog, & run. I found for the price, this was an excellent pair. The sound quality is good (though not comparable to $100+ through Bose) & they are comfortable. They don't fall off when I run (I tested it several times: trail runs & treadmill). I own a 10 year old ipod & need something with a wire jack & this product worked perfectly. Also, I used it traveling on a plane & train & though it didn't drown out all the noise, I could hear my music enough to enjoy. I only gave it 4 out of 5 because I was hoping the cushion around the headphones would fit entirely over my ears, but I want to give 5-stars to Edifier's customer service. They really reach out to the consumer about their product. Definitely give it a try! Plus I love the pink color! :)"
16,"I purchased these to replace an old pair that I use with my laptop and netbook PC's. I love the vibrant color, easy fit on my big head, comfortable ear pads, and great sound. I would definitely recommend them to anyone who is looking for a easy to fold, portable set of headphones that will not bankrupt your pocketbook!"
17,"Although I encountered some quality loss during the first months of use ( sound problems and interference), they reward me with a new pair considering the warranty. I really don't complain on these. They are very high quality sound for a great price. This new pair looks even sturdier (maybe they redesigned them). I like companies that doesn't hesitate with clients' warranty, I love costumer oriented companies!, they are FTW!!"
18,"I bought these over two years ago, and I still love them. I wear eyeglasses, and these headphones don't squeeze the temple tips of the frames into my head, so I can wear these headphones comfortably for extended periods of listening. They are also easy to adjust, and hold adjustments well.
These are primarily used for audiobook listening and they have been excellent. I'm no audio connoisseur, so I can't give a detailed assessment about the sound quality for listening to music. All I can tell you is that what I hear sounds great.
My only grievance is how twisted the cord can get and how often I have to untwist it (once a week). Since the cord twisting is such a minor thing I wasn't going to knock off a star for it."
19,"My rating is relative to the price paid. I have a set of Bose noise cancelling phones that are superb but too big to travel with sometimes. I saw these and thought it was worth a try as a spare inexpensive travel set for when I am tight on space. Good sound quality with a reasonable quality of build. The fit could be a bit tight for those with larger heads but for me as a woman, it was fine. I like the flexibility of the item as well. Feels durable. I wish it had a clip on the cable to attach to my clothing when running though!"
20,"Got here , shipping box was completely fine and not so much as a scratch was on the box , but unfortunately the headphones were broken . A wire was sticking out and one of the little end peiced connecting the headphone its self was broken off making it unusable. Also note that its very very small. The padding wont cover your whole ear and doesnt have very good sound quality (probably because it was broken in the first place )
Wouldnt recomend, go to walmart and but some"
21,Very very good headphones ! For the price the quality is amazing. They can be folded up so they are very travel-friendly! There is no mic nor control for the headphones so they are really meant for listening to music or for entertainment purposes. They are truly noise canceling which is great to block out noise! I would hands down recommend this product and would buy again!!
22,"Update: I was contacted by the seller promptly after emailing them.. Their response was quick and a new pair of headphones was delivered within 2 days. Changed to 4 stars to reflect excellent customer service.. Hopefully the new pair holds up better.

I used these headphones on a daily basis for about a month and a half. I don't listen to anything ridiculously loud, and they stay at my desk when not in use. Overall the earphones aren't uncomfortable unless you wear them for a long period of time. They do slip around a bit, so don't try to use them when you are moving around. I was initially happy with this purchase. For the price they are a little better than what I expected. Unfortunately, it only took a month and a half for the left speaker to die completely. I checked all the solder joints and the magnet are still in good shape. It just completely stopped working. If you can find a pair that works, great."
23,"I bought these after the price went down by a few dollars and after my Amazon basics headphones broke of continuous use of 1.5 years. They are small around the ears, no matter what ear lobe size you have!
The sound to me is almost as the Amazon basics going for $12, but the Amazon ones beat this one just by the boom of the sound. These ones sound a bit on the distant side, and only that.
What I like about the Edifier ones is that the ear muffs are soft leather as opposed to the faux (plastic) leather Amazon basic has. Do get them for the 19 dollar price, and not a penny more. You should in my honest opinion buy the one cord Amazon basics and this one, and you will render the vote to Amazon for sound. Also, the cable on this one is very thin and WILL snap if you accidentally sit on it and move it around without looking. The Amazon one is slightly thicker. Good luck!"
24,Really clear sound at all volume levels. Great headphones! The only slightly negative is that the ear cushions seem a little small for me but they are still very comfortable to wear.
25,"For the price they are exceptional ear phones , The sound quality is good and the noise blockage is fine . Wore them at the airport and were much better the the olderplastic pair I had they broke ,, ,these have a steel piece set in the head band . Don't expect these to be as good as a large pair that completely cover your ears but for a small pair at this price there fine .."
26,"Great little headphones. They are on-ear headphones, so they seem small at first, but they do a great job at delivering sound. They're small and compact, great for tucking in my book bag at the end of the day. So far they've been a great pair of earphones. I'm happy with my purchase."
27,"For those who were looking for headphones like these because of the portability of such foldable on-ear headphones, I was on the same boat and am happy with these. I am not an audiophile, but they sound well enough for me. Definitely not the best in terms of materials, but it's not what I was looking for and the plastic is nonetheless smooth and comfortable. Headband has nothing of note, and the earcups face *outwards* when you hang them around the neck. Been using these for a while now with no problems of note. Thank you."
28,"I've been wanting a new pair of on-ear headphones for a while. We had to send my daughter's Beats EP in for repair. I ordered these for her to use while we waited, thinking I'd take them when her Beats get fixed up. She admits these are better than her Beats EP headphones but, ya know, they don't say Beats on the side, so ... Soon, they'll be mine."
29,"Well, they do fold up small and flat. Unfortunately they are uncomfortable and my kids won't wear them, they squeeze my kids head and they hurt. The sound quality is ok. For the price I'm not upset with the purchase, but I can't recommend them."
30,"These headphones are so much better than my earbuds. The sound is amazing. The only problem is that the headphones are a little small. Not uncomfortable but if you have big ears you may want to get headphones that are slightly larger. I do not have large ears and they are perfectly comfortable. Why didnt i buy headphones sooner? My earbuds usually lasted three months before they broke, I hope these earphone last longer. If they do not I certainly will be editing this review. But so far, so great!"
31,"I purchased these headphones for my grandson who wanted a pair just like his grandpop has. Since we couldn't get the exact pair his pop-pop has (because they are a few years old) we search Amazon for something similar. As soon as he tried them he said ""Yep! These are just like pop-pop's!"" Needless to say, he loves the quality of them and says they have great sound as well as cancelling out outside noise. He is happy, therefore I'm happy. Great product."
32,So comfortable and pretty I am very pleased. Fits nice but the ear caps are small which are good and bad. Good for portability and bad for noise cancelation. I love the one sided cord it eliminates the tangling and hassle of the wire. My reason for the 4 stars are based on 2 factors; the ear covers are a bit small and there isn't a case to put them in. I know it stated it did not come with one but would be nice since their main advantage in the description is portability and noise cancelling.
33,One ear stopped working after a month of use. Item is garbage and I rarely write poor reviews but to give out after a month is pretty bad....:(
34,"I loved these headphones. They fit perfectly and had great sound quality.

They lasted for about six months before one the sides stopped operating. They still work, but sound is only produced on one of the on ear headphone sides."
35,"At the time I ordered this I wanted something inexpensive to take on airplanes. And this fit the bill. Cord really seems thin tho, but so far so good. My next set of headphones will be a nice set of noise-cancelling so I don't have to listen to all those in-flight announcements!!"
36,Happy with seller. Product super squeaky at the ear pieces like its caused by plastic pieces/hinge rubbing together when walking. It ruins sound quality.
37,"I bought two pairs of these, one to replace a tattered pair of Sony headphones and the other as a gift to a son who was trying to listen to music through laptop speakers. These are much better than the standard computer speakers and comfortable to wear for several hours. My boy likes that they fold sort of flat for storage.

Right now 'Corcovado' is being played by Ricardo Leao and the fingering on the piano can be clearly heard. Higher notes are more easily heard by these old ears. Not the best pair of headphones on the market but write if you can do better for the price."
38,Nice Looking Headphones but not very good sound.
39,"These are billed as fitting adults and kids, but our teenager said they were tight enough on her to be painful after half an hour. So, back to Amazon they go..."
40,I bought these headphones for my 5th grader. She loves them. They fit comfortably on her head. The sound is very nice and clear. She will use these at school as well as at home. Great bang for your buck!
41,"Bought two pairs for my 9 and 12 year old girls. Both gave me a big thumbs up when they tried them out. I gave them a listen and the sound was very nice and the ear cups were comfortable. Very happy with the purchase.

We've got a big spring break road trip coming up so these will make the trip more comfortable for everyone."
42,"I bought these for school, specifically for my math lab, I needed a pair of noise cancelling headphones while I sit in class and do work. I love these. I gotta say I got the obnoxious orange color because they were 2 dollars cheaper but definitely worth the price. I have also used them for music and the sound is good quality! thanks again amazon and edifier ;)"
43,"After striking out with two other brands, this one fits my bill: light, comfortable, not too large, well constructed, decent sound and reasonably priced. These are not high-end performers, but for my purpose--the gym--they are more than adequate. They are keepers."
44,"I bought these to replace my daughter's volume-limited kiddie headphones. I liked that the other reviews said that they were smaller sized and they would fit her head and ears well. The good news is that they really are kid sized. The bad news is that her old kiddie headphones had more comfortable padding and frankly sounded better. The main problem with these headphones is that they sound tinny.

Now that she was older, I was hoping to upgrade her headphones. Unfortunately, these headphones just don't sounds as good."
45,"These are small and do not cover the entire ear, which means noise around you is easily heard while you watch movies or listen to music. Unless, you crank up the volume and attempt to bust out your ear drums. Good part is, they fold and can be packed easier than the larger ones."
46,"Nice fit, very comfortable to wear, light / not tight. Does not filter much ""outside"" noise, but it's a great headphone for for the price. Beats using earbuds! The colors are super cool - now everyone knows exactly which headphone is theirs!"
47,"Comfortable, look nice, fold up nice and small, great sound quality. The only issue I'm having is for some reason the right audio, and something both sides, cut out depending on how I rotate the plug in my mp3 player. This doesn't happen on my computer, leading me to believe it's the mp3 player, but my ear buds don't do this when plugged into my mp3 player. Maybe some incompatibility in the metal used, or the shape? Overall great product!"
48,"These headphones are great! I'm no audiophile and I usually don't care much about brand when I purchase headphones, but as soon as I put these on, I immediately knew that these were serious quality. I can't even go back to my old earbuds after having these on! I originally purchased these as a gift, but the would be recipient ended up getting headphones from someone else, so I just purchased a different gift. I was close to returning these, but they were so good, I ended up keeping them for myself.

I purchased the white headphones, and though I'm usually wary of white because it attracts dirt so easily, I really love the way they look. Very stylish, without being over-the-top. I don't like very bulky headphones that feel heavy on my head, so these are great! Very comfortable ear-pads as well. I have double lobe piercings and a cartilage piercing and I've never felt too uncomfortable wearing the headphones over the earrings. I also like the one side only cord as they keep the headphones from tangling too much. The sound is great to me, although I'm really only used to Apple headphones and the JVC gummy headphones. All my music sounds great on it, from classical to pop, or even hip-hop. I'm very impressed.

I'd definitely buy these headphones again in the future, and for $30, I could definitely experiment with the other colors they have too! On-Ear headphones just may be the way to go from now on!"
49,"I have ordered the white pair and have been using it for 6 months without any problems. The headphones are still working great! There were only tiny issues like the adjustable area on the band eats my hair all the time because of the metal and since the headphones are white, the cord gets dirty easily (or dark) and the top part of the band has gotten darker too but it's not that noticeable. I was really worried about the cord because it's so thin and fragile looking but it's still in top notch shape and working!!"
50,I bought this to use with a 12 foot extension to my TV so I can watch TV at night without the sound bothering my wife in the other room. The sound is great and even sounds clearer than the sound that comes from my TV speakers .
51,I am really excited about this purchase. I ordered them to have when I travel next week for surgery. The items were shipped and delivered as promised. The headphones are pink and super cute. They fold up so they ate perfect for traveling. But..the most important issue. How do they sound? I hooked them up to my phone today to listen and they sound wonderful. I would order again.
52,"My daughter loves these headphones. She wanted something that went over her ears rather than earbuds and these fit the bill perfectly.
The song quality is very good according to my daughter and she loves the color. I can't the dang things off her, so they must be okay."
53,"This is the second pair of Edifier headphones I have purchased. The on-ear version is for the gym while the over the ear version is for mowing the lawn, etc. Both produce an excellent sound, especially with the base. This is surprising given their cost. A great deal!"
54,I love these headphones. I ordered them for travel but they have become my staple even listening to music in the office. They have great sound quality without the co-worker next to me listening to what I am listening to. They are a little snug on the ears but overall I love them!
55,"The headphones are nice and the sound quality is decent, but I'm frustrated as all get out that we can't seem to keep the foam covers on the ear pieces. I bought two pair for my daughters and both are having this problem. It's a royal pain to try and stretch the tiny piece of fabric over the plastic only to have it fall off at the drop of a hat. Grrr.!"
56,i'm very pleased with my purchase.am now lowering my volumn from 100% to 45 % on my laptop with even better quality !
57,"I got these to match my pink Kindle Fire case, and I'm very happy with them. The sound is fine for my purposes. I was looking for inexpensive and reliable, not for out of this world sound quality. The product does what I wanted it to do."
58,Sound is good and they do a decent job of noise cancelling. I wish the ear pieces were just a little but bigger but I knew they were on the small side when I bought them. Not bad for the price!
59,"Second pair I bought for my 7 year old. One for school, fits in desk. One for home/travel."
60,"Headphones arrived very quickly as promised. Wanted headphones that completely shut out ambient noise, these did the trick. Well satisfied with sound quality and padded ear pieces. Wife will be ordering hers on Wednesday. Really well made and work great."
61,"Excellent travel headphones! Lightweight, but with a great sound, keeps the room noise away pretty good in airplane! Smaller , but wits well adult and can be used for kids too! Perfect!"
62,"They work well with my computer and my CD player, but I bought them for my iPad, which they do not work with. I asked for headphones compatible with an iPad, these came up, chose them but can't use them with the iPad at all.It would be helpful if Amazon had a filter to guarantee we got products that fit the parameters we set."
63,The right ear phone didn't work! Now I have to return it. Big hassle!
64,"Well worth the money. Excellent sound quality, and after I got used to them, the most comfortable headphones I've ever had. So much so that sometimes I forget that they're on my head."
65,I am surprised of the good quality of sound and manufacturing..I purposely purchased the Edifier H650 to use as a travel set..leaving my more expensive set at home..I find this headset in a favorable comparison to my expensive set. Very Pleased
66,"Being a bass player I am very picky about headphone's sound quality. I personally own a 100+$ headphone, I bought this product as birthday gift to my best friend. I am very surprised by its great and clean sounds (for this price) and the quality of the product as a whole. It's just amazing!!! My friend absolutely loves it. It is both comfortable and cute. She has been using it for 5 month now and still very in love with it! Highly recommend this product!"
67,We have purchased three pairs of these headphones so obviously we like them! They function very well and are really comfortable on heads of various sizes. The choice of colors enables family members to quickly spot their own headphones. Great value.
68,"I love these headphones. Affordable, good sound, articulates every which way, and so fold up small enough to fit in my windbreaker pocket. If you don't want earbuds (like me) and you do want something to carry around with you, you should strongly consider these headphones. A great deal."
69,These are great. I bought them for my daughter for school. My husband and her fought over them ( before school started) on who was going to use them. I will be buying 2 more pairs.
70,Don't let the bright colors fool u! These r not ur avg kiddie headphones! The sound is impeccable!! Very clear n perfect balance of bass n treble. Bought one for each of my older kids. The ear muffs r a perfect size for their ears. Works for adults too but in my opinion better sized for older kids' ears. Excellent sound either way! Will purchase again!
71,"These work perfectly - so says the ten year old. She listens to music on her phone, movies on her tablet, and the phones keep out the world beautifully. Plus, they are great looking."
72,So far so good as we’ve just received them. Good sound and comfortable.
73,"Great little headphones I bought to replace my Sennheiser PX 100s. They fit over your ears so do block out external sound to a certain extent as well. Though my music does not sound as full as was with the Sennheisers, I am hoping that these will last longer since the PX 100s had a lifespan of about 2 years, tops! These Edifiers have thinner and more flexible wires so I am hopping that will give them a longer life. It is difficult now to find old school headphones without the inline microphone."
74,"I'm really enjoying using the Edifier headphones. They sound great and stay in place, with or without a ball cap! They're great for the gym...I hear what I want to hear and not all the machinery/equipment! My Edifiers have already replaced all those ear buds that are so distracting…constantly wiggling and falling out, never providing absolute sound we're searching for!
Thank You!"
75,My son loves these headphones. Great price and the sound quality is really good. I wish there was a way to limit the volume but that would be my only negative on these.
76,Sturdy and awesome hi-fi sound. Only had one day of use at work and it stood up well to bumps and bangs. I wish the bass was was a bit more but otherwise the sound is good. Really only gave four stars due to the lack of a strong bass sound but otherwise the sound is strong and probably DOES depend on the equipment it is plugged into. Small earpads still block a lot of outside noise and it doesn't seem to matter if they don't fit over the whole ear and even at low volumes blocks out external noise. Small and light and efficient. The metal reinforcement in the band is keeping the band from being in a state of breakability like my last headphones which broke on the first day of use due to a weak plastic band with no extra backing to keep them from snapping in two. Overall awesome and good noise-cancellation!
77,"Headband is too tight for a male adult head. After wearing for 5 minutes, these on the ear headphones made my ears uncomfortable and even sweaty. Do not recommend."
78,Love the sound quality. Just a little small for my ears which is the only reason it is not a five star rating
79,Headphones work great! used it to travel and work well in an airplane environment and doesn't disturb neighbors on the next seat even on full volume blast watching movies. doesn't take up much space either.
80,"My little girl loves the color, but the sound quality is poor."
81,"Great sound. Impressive, surprising lil thing. Not too bulky. Very neon. Good choice. Some sound leaks out for people around to hear if you listen as full blast as I do, may be irrelevant to others, and I use them anyway, so I took no stars off."
82,"Decent sound, fairly comfy. I wish it had a much longer cord. Since the cord is thin as well, one hard accidental jerk on it and I'm afraid it will break."
83,"Bought 2 pair for my tweens and they hurt after wearing them, even a short while. I would say they're a better fit for 5-8 y.o. Sound quality decent though."
84,"These are small headphones with very nice sound. They don't engulf the ear so that they block out other sounds, but they sit lightly on the ear without crushing the ear so that they can be worn for long periods of time. I can also slip them into my handbag if I go anywhere."
85,"Just received yesterday and have used for over three hours. Awesome, I mean awesome sound. Fit is comfy and secure. Adjustable to any age. Love the fun colors. Received a nice note from Fabian to make sure I received package. My best buy for 2017."
86,Attractive and comfortable. The sound is great! Just what I was looking for and the price was right.
87,"I bought these headphones for my 4 year old son to use with his tablet during a flight and they worked great! He said they were comfortable, they fit well on his head and he didn't have any problems hearing during the flight. He has used the headphones around the house and in the car and they have help us we'll through his less than gentle care. I'm very pleased with this purchase and would recommend to anyone looking for headphones for their young child."
88,"I was in need of headphones for traveling as I’m going on a trip this winter. I read some really good reviews here on Amazon and decided to buy these headphones. I was thoroughly impressed with the sound quality and comfort.

The Edifier H650 on-ear style headphones were shipped to me incredibly fast and in style. They came in a nice clear box that I couldn’t wait to open and start using them. The headphones are lightweight and really comfortable. Normally, I’m not a fan of on-ear style headphones however, I can wear these headphones for hours without them pinching or hurting my ears. The leather ear pads feel like pillows on my ears.

The sound quality is amazing. First off, these headphones have high quality noise-isolation, which is great for listening to music in loud places or just listening to them while commuting. Secondly, the sound from the headphones feels high quality. I use these for listening to all types of music and it feels like I’m right there in front of whoever is playing.

The H650 headphones are also very durable. I can just throw these headphones in my bag and not worry about them getting damaged. The wire is also made from a high strength wire.

I would definitely buy these headphones again without a doubt and it makes me curious as to what else Edifier has to offer."
89,"Love these. It's great to find a product that is good to it's description. Great price, really good sound."
90,I just recently had an opportunity to use the new headphones and they were excellent. I have a hear aid it I didn't have to use it while using the headphones which was a pleasant surprise. They are lightweight and will be great when we travel. I would recommend this product especially to the hearing impaired. Good job!
91,Very pleased with my purchase. Lightweight with excellent sound. Also the fact that they fold up and the ear phone part folds flat will make them excellent for packing on trips.
92,I love these head phones. They are way more than i expect them to be. i looked them so much i went and purchase an extra one for myself. my daughter and i are very pleased.
93,"Good value for the price, can make ears a bit sore after a while of wear. Definitely do a good job of blocking out MOST sound but not everything entirely, I use for studying"
94,"I was amazed by the sound quality of these headphones, I use them when hiking and they are lightweight and don't make your ears sweat like more encompassing headphones do."
95,"These are the great headphones at an affordable price. I've tried lots of them and these are light, comfortable and provide some sound buffering. My only wish is that they folded up a bit smaller."
96,"These head phones are great. they are super flexible, the sound is great for the price point and the white set is very sleek. If I could afford it, I'd be an audiophile. Until then, I recommend these headphones for others who would like an affordable headset that wont break easily and will still deliver great sound."
97,Decent sound for the price. All plastic. More of a children's set.
98,Fits well on a smaller individual and is the reason I purchased this headset. Has wonderful sound quality with no hissing or machine noise. Lightweight and adjustable. Would recommend it to friends.
99,"Work great until they break after a week or two. Cheap plastic, brittle."
100,I love my this earphones! so convenient to carry and fit just right on my ears!
101,I purchased it for my daughter to use when playing her keyboard and it was small and hard to keep on her head
102,"I am totally surprised and pleased with the quality of sound of these very reasonably priced on-ear headphones. I love them! They are light, comfortable, and sound great across the sound spectrum, not to weighted towards either high end or low. That they fold is really helpful, too. I'm very pleased with these... and as I say, surprised. They sound way better than their price would suggest."
103,"I am a big pink person, so I love the color, the headphones were really comfortable and great audio."
104,"These headphones are exactly what I wanted. The sound is wonderful and the size blocks outside noise, AND allows me to wear my glasses comfortably. i am very happy with this product."
105,"Good sound quality, in general. Lacking some more base, even after adjusting with a graphic equalizer. Headset is light, and pretty comfortable to wear, with good padding. A little bit on the small size, but you got to give up some ear-coverage for easier portability.. Seems strudy, but only used it today for the first time. Must check on durability in a few months."
106,Very comfortable fit achieved with the telescoping headband. Sound is terrific and soft pillows around the ears cancel most outside noises. I will biy again. The color is beautiful too. Very happy with this purchase.
107,They deliver good sound and fit comfortably; they do fold up somewhat and travel well.
108,"I just received these today. After a long process of reading reviews I finally hit the order button feeling I had nothing to lose based on price. I was looking for a pair of on ear headphones for dog walking, in the gym and running. THEY ARE FIERCE! As good, if not better than my $250 Sennheiser over the ear headphones. SO light, and just what I was looking for - an alternative to ear buds."
109,The headphone works fine all good only one issue I have and that is the ear piece it is small like for a 12 year old child. The ear piece doesn't cover my ear fully or snugged in a way that makes me feel comfortable. Well gift to a young nephew.
110,Amazing is the first word that comes to mind when describing these. The sound and clarity is very impressive . They are lightweight and not bulky like the other ones. These are the 2bd pair I bought
111,"These headphones are for my wife. She is thrilled with them. They are mainly for travel as they do fold up making them less cumbersome.
The packaging was perfect and the product fits comfortable on the ears."
112,These headphones are GREAT and my husband Loves them!
113,"The sound quality is amazing, and the design is great. I literally would have no qualms with these headphones if one ear didn't randomly stop working out of nowhere. It's such a shame too because I loved these."
114,"These headphones are amazingly priced and really help reduce the noise from those in my office who don't understand ""indoor voice."""
115,They work better than I thought at the price point! Very flexible too!
116,Great headphones. My daughter likes them very well and they fit her perfectly
117,"Love these headphones. They bring out the bass and some background sounds I've never notices before in songs. Pretty good noise cancellation and fit perfectly for an adult with a small head. The only negative is the pressure can hurt your head a little, but you need that seal to make them noise cancelling so its something you have to deal with and adjust them as needed for some relief."
118,Great headphones. My daughter loves them!! She has used them in computer lab at school and she says they sound. Good. She especially likes the color hooves!!!!
119,"So far (2 weeks perhaps) I have really enjoyed my Edifier headphones. They fit great, I like the single cord, and the sound is very good, although admittedly I am not much of an audiophile. They work great to drown out the bad music blaring at the gym. I am very pleased."
120,Super cheap quality. As expected.
121,Great sound and easy to travel with.
122,Sound quality is fine. Short wire and no volume control caused me to buy an extension wire with a volume control. Almost blew my eardrum out when connected to my computer and had a video start. Wire is also very fragile.
123,"I love these! I like these colors, as well!"
