,Ratings,Reviews
10,5.0 out of 5 stars,"I have owned Bose in the past, my boyfriend recently bought be the Bose Sound True Ultra In ear headphones and like most people I had issues with the wires bunching up before they begin to crack open. He recently told me to order what headphones I would like and be happy with and I chose these because they are bluetooth and I can used an Audio cable if I want to, plus I like on ear headphones more than Over or around ear headphones. I haven't tested the bluetooth feature yet, but I love them. My only complaint would be that I wish the case that you get was a little more roomier"
11,4.0 out of 5 stars,"I use these at the gym and YES for the most part they stay on your head.... great build quality and solid sound...wish they were a tad louder but probably just as well that they are not. I used these on the flat bench, incline and decline bench and they will stay on your head. They did tilt a bit on the decline bench but a quick adjustment and I was good to go. When I got up from the decline bench they stayed put! Also nice NOT dealing with a cable! In ear headphones are less of a hassle and I also owned and used a set of SoundTrue™ in-ear headphones in the gym I was however discouraged with the fullness of the sound of in ear sets.... if you want superior full sound while working out these are hard to beat (yes nice full bass as well) ! Size is nice - not bulky like many of the more expensive Beats LARGE wireless headphones. So YES they get my vote for being practical in a gym situation. Could you use them for a crazy circuit training routine where you are moving your body rapidly and jumping up and down? .... probably not :-)"
12,3.0 out of 5 stars,"This is a comfortable pair of headphones, and the sound quality is as good as I can tell. (I'm not a musician, and I mostly listen to spoken word.) The downside is that Bluetooth pairing is complicated and unreliable. It doesn't remember more than two devices at a time, often forgets the devices it has paired, and has trouble connecting. Once it's set up, it's OK until the next time; but it has real trouble if it loses connection to a device (e.g. the phone ran out of power and turned off) and has to reconnect, sometimes requiring a full setup again."
13,5.0 out of 5 stars,"In love. I bought this item about a week ago, I charged it once until 100% and a week later 60%. Great battery life. Perfect fit, not big at all and not too small. As for the cushions, comfortable. And of course they will wear out after a year, after constant use and mostly sweat, it’s bound to happen, good thing replacement is affordable and easy to replace(haven’t done so yet, since they are new, but I did do some research before buying). Overall, if you need some comfy headphones. I recommend these over beats. Oh and sound is perfect!!!"
14,4.0 out of 5 stars,"Bought two of these, and used them for a verity of devices, iPhone, Android Phones (S4, S6 Edge, HTC) , Mac Book(s) and PC.

Cushion on the ear pieces are comfortable enough, no noise cancellation, people around you could hear on full volume, but again there is no reason for anybody to go on full volumes. Used if for long hour work calls on many occasions.

Pros :
o Light weight, easy to tuck it in to the case and take it with you anywhere.
o You can listen to music even when the battery is out of charge. (no microphone usage though)
o Pairs to up to two devices simultaneously. While you are listening to music on Mac/PC, you can pick up the calls.
o On ear volume/call controllers are great.
o Can remember up to 6 devices.

Cons :
o The white one could get dirty easily. requires more periodic cleaning to keep it looking better.
o While listening to music from one device, phone call is a bit distorted, Wish Bose would have done a better job of cutting off the steam from the first device, or let me set a high priority to a device.
o For the price, I wish the case could have been hard case not a soft one."
15,1.0 out of 5 stars,"FALLING APART AFTER A YEAR!

While it's not a bad item, which I'd give a ""B"" rating to, look at how it's falling apart on both sides after about a yer of moderate use. I will not pay for replacements and am actively seeking what its warranty says.

At this price, I expect much better."
16,5.0 out of 5 stars,"The best Headphones I have ever possessed. Unmatched bose sound quality. Very comfortable on ear phones. The best part I like about these headphones is that they seamlessly connect from one gadget to the other ones you've paired them. I have them connected to my iPhone 6 plus, Ipad as well as macbook. All you need to do is disconnect from one gadget and they automatically connect to the one whose bluetooth is on. On a hot humid day also they don't seem to feel irritable over the ears. Very happy with the purchase. Need to also mention that even though I think they are not advertised as noise reduction phones, they seem to be doing the job alright. Even with a very very low volume you cannot hear the outside noise at all. One last thing.... they fold immaculately into the case provided."
17,5.0 out of 5 stars,Amazing headphones. Bought as a present for wife to remplace Dr Dre beats and the quality is just much superior as well as sound quality as expected from BOSE!!!
18,4.0 out of 5 stars,"This is a very comfortable headphone with pretty decent sound quality. I was coming from an older pair of Bose Triport headphones that I used for years for listening enjoyment and for work as a professional musician as recording monitors and for transcribing recordings. I was looking at these as a replacement.

Pros:
These bluetooth phones function as advertised allowing you to connect to your phone and another device such as a computer or tablet. When used as a headset for calling I received no complaints from callers and most said they didn't hear a difference between me talking on it and straight from my iPhone 4s. Pauses playback when calls come in and resumes when finished.

Decent sound quality and detail for bluetooth headphones. I went to the Bose store after purchasing these and tried all of their current headphones and these seemed to have the most open, natural sound compared to the other headphones.

Good quality construction. I don't have a problem with there being a lot of plastic in these as the design is solid as long as you don't abuse them.

Comes with a cable for non-bluetooth connections.

Comes with a nice hard case for transporting! Something I can't say about my Grado headhones which cost more than these.

Cons:
While the sound was decent it was not as open as my older triports. Everything sounded very compressed even with lossless music files.

The instruments/voices seemed to be mashed together and hard to distinguish. Everything seemed veiled.

The volume was not as much as I would like with the bluetooth. When using corded it was a little better as was the sound but that isn't what I purchased these for.

In the end while they are quality bluetooth headphones - the best I have listened to and I listened to and returned a lot of them - they weren't an upgrade for my current headphones. I wound up getting new ear pads for the triports and picked up a pair of Grado SR325e headphones which sound better than anything I have ever experienced with the exception of my vintage Marantz 2270/Imperial VII combination. These are great for passive listening or office listening when you need to have the ability to keep an ear open for your phone."
19,2.0 out of 5 stars,"Have had these for almost 2 years, relying on them daily for work, on both a phone and a computer. The bluetooth connectivity/audio quality often degrades, usually mid-call, when connected to a new Macbook Air. Has constant problems when connected to two devices, often disconnecting from my phone (and announcing it) while I'm on computer audio, leaving a gap in communication. Updating the firmware and erasing the connection sometimes helps for a few days, but it always degrades again.

I'm hoping that mine are just a dud, but I certainly expect more from a $200+ pair of BT headphones."
20,5.0 out of 5 stars,"This headphone have very powerful and fascinated sound.I'm not a fan of Bose , but this make me want to invest more on another Bose product. I don't wonder Bose Soundlink On-Ear Bluetooth Headphones is the best Bluetooth headphones in the current market.It offer high quality sound without sacrifice comfortableness and convenience.
With elegant and ingenious design, every parts of Bose Soundlink On-Ear Bluetooth Headphones can change with spare part.It make this easier to maintain and fix.You can buy new earmuffs and change it by yourself. If you've found any problems with cable you can just change it with a new one.Besides It provide you with multi-devices function, you can watch movie or music simultaneously with phone call.
However, it's not flawless.It can connect with Android operation system without any problems but with PC or iOS it's another story.There're some major problems when you pair this up with windows 8 operation system. Windows 8 will automatically put this headphones on ""Handsfree Telephony"" mode, It will make very terrible sound in this mode. You have to fix them by right-click on the device in ""Devices and printers"" then click on properties accessing to service tap after that you have to uncheck ""Handsfree Telephony"" service. It's annoying because you have to do this every time that you remove device from your computer memory.Apart from this problem, it also have some problem with transmission. There're sound lagging and inconsistency some time."
21,5.0 out of 5 stars,"These are super comfortable and the sound is great. I was concerned about the ease of pairing, but really it couldn't be simpler. It immediately found my ipad and iphone and stays connected at a distance. When they're folded up and in the storage case, they're a little thicker than I'd like (softball sized, larger than an orange) but I can pack around them. The sound quality is really great. I also watched a full season of an Amazon Prime series and the battery was still at 100%. Great headphones!"
22,1.0 out of 5 stars,It will easily fall from your head if you bend over.
23,4.0 out of 5 stars,"I picked up a set of these a few days ago, and am delighted with them. As others have noted, the sound quality is excellent, which is particularly noteworthy considering their use of Bluetooth for wireless connections, a technology that is not generally known for its high fidelity. In that sense, this is a significant engineering achievement -- these sound better to me than some of the wired 'phones that I own, which is remarkable.

I can't over-emphasize the great sense of listening freedom you get when you lose the wired connection on your headphones. No more accidental ripping them off your ears when the wiring gets caught on something or if you move your hand too quickly in the wrong direction. No more cables tethering you to your phone or MP3 player -- the source device can be charging up nearby while you move around the room instead of being stuffed in a pocket with wires dangling all over your body, waiting to catch on something.

Another significant achievement is the long battery life. I have an older set of Bluetooth phones from another company that have a maximum battery life of about three hours. The SoundLink On-Ear phones, by comparison, are speciifed to last up to 15 hours -- enough time that you don't need to worry about a sudden shutdown in the middle of your favorite album or playlist. When I asked a Bose sales guy whether the battery is user-replaceable or not, he told me the it should be able to withstand 2,500 recharge cycles. If this is true, then it's likely that something else on the phones will break or fail long before the battery stops holding a charge.

Although Bose is quite up front about these not offering their well-known noise canceling feature, I tried these out on a recent plane ride anyway, and found that they are indeed no replacement for noise canceling phones like QC15s or QC20s in this environment. I would estimate they passively reduced ambient aircraft noise by about 50%, which forced me to increase the volume significantly higher than the QC20s I also had with me. This high volume level is not good for one's ears, so I must reluctantly report that these are not really a good solution for use on planes. However, I did justify getting these anyway because I believe I will use them far more frequently than my QCs because 1) I am not usually on a plane, 2) they are more convenient to use everywhere else, and 3) they do nicely block out most noises that you'll likely encounter in traditional listening environments.

Portability is another nice feature of these phones. When folded up in their carrying case, they are easy to throw in a bag or briefcase, although the case is nowhere near as small as the one for the QC20s and is about twice as thick as the one for Bose OE2s (wired on-ear phones). Still, they are much smaller than the carrying case for the QC15s and QC25s, so if you're used to taking along these QC bigger phones for general listening, I think the SoundLink On-Ears are a lot easier to pack and carry.

Finally, they are quite comfortable to wear. Bose has developed the softest, most compliant on-ear pads in the business, and they are a pleasure to experience. They fit me better than the OE2s, having enough extension range to easily cover my ears without putting too much pressure on the top of head. Much appreciated, and quite pleasant to listen with for hours. It's also a comfort knowing that if a phone call comes in on my iPhone while using these, I can use the phones to take it -- no worry about missing important calls while you're immersed in your music.

While $250 may understandably seem a bit steep for a pair of headphones to some people -- and I'm sure Bose is deservedly enjoying a good profit margin accordingly -- I will say that the attention to detail and excellent engineering these phones represent is a very good value for the money. How much is it worth to avoid ear or head discomfort? How much is it worth to have relatively great sound quality without wires tangling up when you move around? How much is it worth to have 12+ hours of uninterrupted sound without a recharge? These are a thoughtfully designed, high quality product that are well worth a listen."
24,4.4 out of 5 stars,"Overall not a bad product, but after 6 months the ear pads have lost their cushioning and are flat and hard. It does get several hours of use each day, but I did expect better durability from such a respected brand. The cable also stopped working after only occasional use, which isn't a huge deal because it is primarily used with BT, but speaking of that, the volume is fairly limited while on BT - a common problem with BT headphones in general, I suspect limited purposefully to extend battery life, but I'd like to crank it if I want to!"
25,4.5 out of 5 stars,"Bought these as a gift for my husband (I already have a pair), and he was skeptical because they are not officially ""noise cancelling"". But he finally tried them on a recent trip and was happily surprised. My experience with them has also been fantastic... I own an older and larger pair of Bose that are noise cancelling, and these actually work better in terms of screening out background noise. Plus they are smaller and easier to travel with. Love Bose quality and sound!"
26,3.5 out of 5 stars,"Got them as a gift. Great sound. The only knock I have is that I wear glasses so after hours of wearing the headset, it can irritate around the glass ear loop."
