,Reviews,Ratings
35,Nice akg headphone. There is no problem with right side's volume if you get used to listen it.,5.0 out of 5 stars
36,Very good usability and sound quality.,4.0 out of 5 stars
37,this item really sounds great,5.0 out of 5 stars
38,good,5.0 out of 5 stars
39,very good,5.0 out of 5 stars
40,Amazing and without any troubles,5.0 out of 5 stars
41,Good quality~ Good Price,5.0 out of 5 stars
42,I bought these and the Sennheiser Urbanite XL both because I could not decide between them. These WORK. No fuss no muss they just work without a lot of complexity. Real easy to use. They connect quickly and easily to any source and then reconnect to any source quickly and easily. If you are thinking of buying these or the Sennheiser and just want to listen to anything get these.If you want more complexity and/or added features then think about the Sennheiser Urbanite. If you just want to listen to something quickly with good sound buy these.,5.0 out of 5 stars
43,Good,5.0 out of 5 stars
44,"The sound quality was very good. The problem was the build quality and bluetooth connectivity. The padding on top of the headband started to come unglued from the mettle band. The bluetooth connectivity was unstable, after watching a movie via my computer I attempted to watch another one only to find that the headphones were no longer connected. I had to reconnect in order to watch something else.  This was not an isolated an incident, every single time I switched from one program to another I had to reconnect. AKG is a recognized brand and for $300 bucks these issues shouldn't be.",3.0 out of 5 stars
45,No words discribe how good it is,5.0 out of 5 stars
46,"Seriously, they only way to turn these headphones off is to turn off Bluetooth on your device and let them time out. The buttons are stubby, awkward to use and lack the versatility of a Bluetooth device of this generation. My final complaint is the bass is lacking, I tested this both wired and wireless. Over all the clarity and range of the headphones is excellent if a little quiet. I'm not sure if the European Union forces AKG to limit the max volume output of these headphones but I would love to see what they can really do as it seams low for the size of the drivers. Though when I had them maxed out there was zero distortion. Anyway, it's loud enough to get the job done for commuting or flying but don't expect to DJ with them.The materials they are made out of are awesome, they are light weight, the sizing band works well and holds properly and the ear cups are comfortable and fit perfectly over my ears. There is little or no sound bleed so you can wear them wherever without disturbing those around you. The battery seems to last forever, I have used them so long on one charge that both my phone and my tablet ran out of power before they did. I'm still perplexed by the lack of a physical off switch.",4.0 out of 5 stars
47,Little too heavy. And bluetooth is not convenient to connect.,4.0 out of 5 stars
48,great headphone,5.0 out of 5 stars
49,"There is no way to forward and reverse tracks.  Misleading when the description states ""control buttons conveniently located on the ear-cups"", which many would think, first and foremost, are controls to manage the source content.  What's the point in a wireless headphone that needs the device to control audio tracks?  I may as well just buy a wired pair with inline controls on the cord.  Major fail.",2.0 out of 5 stars
50,Very good sound,5.0 out of 5 stars
51,What a great BT headphone is!,5.0 out of 5 stars
52,Good!!!!,5.0 out of 5 stars
53,Sound is pretty good,5.0 out of 5 stars
54,Awesome sound quality.  I thought the build quality could have been better but overall a very good product.,4.0 out of 5 stars
55,The sound quality is great and it's the fullest sound I've head on a wireless set. I had a pair of Sennheiser mm 550-x travel Bluetooth headphones and these blow them out of the water! The bass is rich and the highs are well rounded creating a great all around sound. The noise canceling isn't top of the line but it certainly works. It's a great active noise canceler allowing you to hear when you aren't listening to anything through the headset. A definite great buy!!!,5.0 out of 5 stars
56,Not worth more than $35.00Not worth more than $35.00I own 3 pair of older AKG headphones and they are all of exceptional quality and sound great !. These horrible ($139.00) sounding headphones should not have the AKG label on them.Shame on you Harman.,1.0 out of 5 stars
57,"I like collect electric equipments like gaming laptops,headphones,keyboards,phones and some fantastic stuff etc.. And this is a very nice and professional headphone. AKG won’t let you down.",5.0 out of 5 stars
58,"These headphones sound amazing (when using the cord), exactly what you would expect from an AKG with 50mm drivers. However there are three big issues with these:1. When using bluetooth and paired with a mac, there is static (hisses and pops) added to the audio. It is very distracting from the music, and makes the bluetooth almost unusable. Also, the headphones claim to be able to be used as a headset with microphone (they offer up a headset bluetooth profile), however the don't actually work as a mic.2. The paint finish wears off very easily.3. The headphones don't hold a charge well - if fully charged, they will be dead after 1-2 days even if they are off.Based on these issues, you are probably better off ditching the bluetooth functionality and using the K545 (same size) or the K550 / K551 (larger size, slightly better sound).",3.0 out of 5 stars
59,"There was a rumor that there was a lot of bad loud sounds on one side, but it was true. So I returned.",1.0 out of 5 stars
60,Bought these for my husband's birthday.  He loves them!!!,5.0 out of 5 stars
61,Audiophiles will not be disappointed.,5.0 out of 5 stars
62,I LIKE this.,5.0 out of 5 stars
63,My son said it's good...,4.0 out of 5 stars
64,good,4.0 out of 5 stars
65,Music -  5 starsBuilt - 0 starsSee the pictures what happened after 1 year of usage,3.0 out of 5 stars
66,"After reading up on reviews made by head-fi.org and many others I decided to go with the K845BT. Unfortunately straight out of the box I discover that the left ear cup gives away a weird noise, turn on the music and there is no sound coming from the left side either.I go back in and read some of the others ratings and soon realize Im far from the only one having this issue. I work on a cruise ship and my options on how to return the item is very limited. Im so F***ING pissed off because not a singel review ever mentioned this issue and after paying close to 300$ for a pair of headphones you expecting to have to deal with this s***.I advice anyone who considering buying a pair of those to turn back around and look for something else... save your self the trouble!",1.0 out of 5 stars
67,"I felt compelled to write this review because there is some misinformation in other reviews. I will try to be as objective as I can when necessary and try to be clear about when I am speaking subjectively.SOUNDI'll start here because most people seem to be agreeing that the sound is great. It does indeed have good clarity for a portable headphone, and the sound does improve slightly via auxiliary cable. I don't believe ""perfect"" sound is necessary with a portable headphones that I plan to use while out and about. I expect outside noise to leak in, I expect to be distracted, I expect the environment will not be ideal. Brilliant sound is for a controlled, quiet environment where you can listed to the subtle details of music (or films) and appreciate them. With that being said, I will reiterate that these AKG's are quite nice to listen to.Some people have mentioned the headphones are not loud. At max volume, they are not ripping my ears off, but they are plenty loud to me. In fact, I never have them on max volume. The volume up/down button on the headphones are separate from your devices volume. In other words, if you change the volume on the AKG's, you will not see the volume level bar on your device change. It is independently a headphones volume. My usually listening is device on max volume, and I control the headphone volume. Hence I have it usually around mid-level at most. Low level if it's quiet environment. Very rarely I have it at high if it's a particularly noisy environment. Just for reference, I have been to way too many shows without earplugs. I know my ears are not as sparkly perfect as they once were.FUNCTIONSHere is where I think there needs some clearing up. The instructions that came with the headphones are poor. The bluetooth is version 3.0. It's not a problem as far as I know even though 4.0 is available. It can only pair with one device at a time. There is a button on the bottom of the right earcup that turns bluetooth ON and OFF. It's a very ideal position for my right thumb. As I put them on, my thumb can hit the button to turn on, as I take them off, I can hit it again to turn BT off. Simple. There is a tone that is different for on and off you will hear. Also a blue light next to the button that blinks relatively slowly when turning on (it pairs with the last device it was paired with), and it will blink rapidly about 3 times when turning off.How to change devices: hold the bluetooth button for a couple seconds and the blue light will start blinking slowly again, it is now searching, so go to your device that you want to pair and find it and pair. While bluetooth is on and paired, the blue light will blink once every 5 seconds or so. I thought this would be distracting while on my head, but it's not. I can't see it at all. The nice thing is, if I take them off, because it continues to blink once every 5 or so seconds, I know it's still on.I've paired it with iPhones, Chromebooks, Macbook Pros, and so on. No problems, hisses, pops, whatever else others say. I have no idea why that would happen. Bluetooth is proprietary technology, it's the same in every device except for the version. If there are problems with a single device, I would look into the devices bluetooth hardware/software to see if there are issues. I've also never had a problem with the pairing dropping off.There is no forward and back buttons as many have mentioned. There is a pause/unpause, volume up, volume down. I never skip songs or podcasts. I just hit play and go on about my day. If I need to change what I'm listening to, I'm usually looking for something specific anyway, so I go to my device. For people who like shuffle play and have short attention spans for music, I can see how a forward/back button would be great. In that case, these headphones are lacking.There is a microphone on the bottom/front of the right ear cup. If you are looking at the headphones from the right side, so the right ear cup is facing directly at you, the mic is around the 4 or 5 o'clock position so it is closer to your mouth. It works just like any other headset for your mobile phone. I believe the clarity when speaking is not the best because I tend to get people saying ""what?"" more often than speaking normally on my phone or using a purpose built hands-free headset. I don't know if that has to do with the quality of the mic or the position or both. It works ok though for the most part.BATTERIESMy experience with the batteries have been great. I've had these headphones for 4 months now. When I got them initially, they had charge in them, I have no idea how much, but I went ahead and charged them up to full. I have in that time only needed to charge it once. When the batteries are low, a red light will blink to warn you and you will hear a tone. I use them almost daily, sometimes a lot, sometimes not much. I try to be good about turning off BT when I'm not using them (see FUNCTIONS section above about how easy it is to do this). Sometimes I forget to turn BT off and I find them still on at the end of the day. Oh well. I've only charged them once in 4 months. I cannot say you will get this battery life if you make heavy use of BT listening on a daily basis. Maybe you will have to charge it every day or every other day. I don't know. I can only tell you my experience.COMFORTThese AKG's lack most in comfort for me. It's their biggest downfall. At this price point, I expect my headphones to be very comfortable. The cups are round as you probably noticed from the pictures. This means that if your ears are a little bigger they will not be completely inside. Ears tend to be bigger up and down, not side to side. So oval shaped ear cups will accommodate a greater variety of physiques like the Bose or Beats headphones for example. The actual driver inside the cup is not at an angle the way Bose and other headphones are. For large reference headphones with thick padding, this can be ok, but the padding on the cups of these AKG's is not super thick, so the back of my ears are pressed against the inside. If you haven't figure it out, my ears are too big for these. I wouldn't say I have huge ears (like another reviewer noted) but probably above average size.The padding, although not super thick as mentioned, would be sufficient if the shape of the cups were oval. They are portable headphones, so I am not expecting the huge padding like reference headphones. Also the padding on the top band feels nice and squishy to the touch, but is not sufficient over long periods of time. My guess is this can generally be a problem for many headphones. I've heard Beats are pretty great in comfort though. The band adjustment is great. There are numbers so you can remember where is most ideal for you if it ever is moved. The cups turn to be flat, and they also turn slightly more than perfectly sideways to mimic the angle of your ears. But this isn't an equal replacement for having the drivers at an angle inside the cup because the cup padding now doesn't sit flat against your head behind your ear.To be clear about this comfort section, I am being quite picky because of the price point. They are probably more comfortable than many other headphones generally. I don't entirely notice the discomfort now because I am used to it, but I really shouldn't at all. I will also add they seem pretty light. I don't feel like there is a brick on my head.ROUNDUPSound:Probably about a 7/10 compared to high end reference headphones if those will generally be around 9-10 range relative to all headphones.For portables I could say these are 9-10/10 given I'm never really listening in an ideal environment anyway.Function:9/10 For simplicity. Lacks forward/back and pairing with multiple devices at the same time. Microphone position or quality can be improved for telephone usage.Comfort:7/10 generally speaking4/10 for this price point.I hope this helps!",4.0 out of 5 stars
68,"So far, not happy with the product.  Tried them wired in and Bluetooth.... They do not go loud AT ALL!!!  My earbuds that cost a fraction of the price blow these away.  These will probably be sent back, very dissatisfied for $249.99.",1.0 out of 5 stars
69,"I got to try these out, and they are great! I had NONE of the issues others are mentioning here. They have that ""wide magical"" AKG sound signature that NO other company at this point offers for BT, were pretty comfortable, look nice, and were easy to use too. BT sounded great, but of course using the wired option meant slightly more clarity & volume.Note: These are over-ear headphones, NOT on-ear.Very highly recommended!!",5.0 out of 5 stars
70,The AKG K 845BT have earned a spot on BoldList's Top 5 Bluetooth Headphones under $400 list!Pros:- Specially-selected 50mm drivers and a closed-back design deliver exceptional studio-quality sound- Bluetooth and NFC connectivity allows you to connect with your content in an instant- Control buttons conveniently located on the ear-cup allow you to command your sound effortlesslyCons:There are no cons. Buy these.Check out the rest of the list: http://boldlist.net/top-5-bluetooth-headphones-under-400.php,5.0 out of 5 stars
71,"Simply put if you like the original AKG K550 headphones or the new K545's these basically slide write into the niche between them. The sound quality is exceptional for a Bluetooth headphone. I dont know how AKG and Harmon pulled it off but their honestly is know difference in the sound from the K545's and these. I've owned the K550's for about two years and my fiancé has pretty much claimed them as hers now, so I was looking to upgrade to one the newer K545 or K551 models when these where realesed 2 months ago. I knew I would be traveling in the upcoming months and I had been looking for a Bluetooth headphone exp.(Parrot Zik and Sony MDR BT) when I decided to try out the new K845 BT 's and to my surprise the sound quality from these blows both of those models away. With the fit, finish and build quality basically the same as the K550's and with the added options of being able to attach a cord if the battery gets low, I was sold. Im usually not a white headphone guy but the matte iceberg white and grey metal) accents look absolutely sick and so far they are my best purchase of 2014. np",5.0 out of 5 stars
72,"I saw some reviews that were critical of these head phones and mentioned a Bluetooth buzzing when used with a mac book. NOT SO! THESE ARE THE BEST HEADPHONES I'VE EVER OWNED AND VERY COMFORTABLE.Batter life is good. Pairing is easy. Sound quality is unmatched.All in all, A, five stars!",5.0 out of 5 stars
73,"Plain and simple comparable to the Sony MDR-1RBT and Parrot Zik wireless bluetooth headphones the sound quality of the AKG K845BT's blows them away. The Logitec UE9000 would be the only current wireless bluetooth headphones that are equal to the sound quality of the K845's. Both headphones sound equal to their brands wired counter part. If you know the history of AKG's headphone line these fall right in place between the K550's, K551's and the new K545's which are basically the wired version of this model. I highly recommend theses headphones if you get a chance to check them out in the Bestbuy Magnolia store you will pleasantly surprised.  The only flaw which is not a major one sincecthe headphones stay charged for a good 9-10 hours on continued use. Is that their is not an active off switch once the headphones are fully charged.  However once you unpair them from your device or plug in one of the Android or Apple included wires the Bluetooth functions do finally cut off. But to me that is a small price to pay to have a bluetooth headphone that sounds better than most of the wired headphones in its price range plus you can use them wired as well.",5.0 out of 5 stars
74,"10.21.2016I ordered this again after I lost it because I loved it.When I got it and tried to listen music, I could hear buzzing noise.I don't remember there is noise before(probably not) so, I returned it and ordered it again.However, this one had same noise. I tried to listen other songs, but the result was same.I had to return and orderd it again. I really hope to not hear noises again... But.. this also has buzzing noise.Even the last one seems not new one. The box case's tape was opened.It makes me crazy. I got stress because of it.But I am not going to give up. I'm going to return and order it one more time.I hope to get a certain new one that doesn't have buzzing noise at this time.10.23.2016I ordered two more this headphone and I will return it again because these have same noise problem and uneven shape on both sides sponges.Also, some finger print on them too, so I doubt whether those are new.Now, I am getting tired to get the headphone doesn't have noise problem as I got before.",2.0 out of 5 stars
75,"I have to go with the ""I don't like it"" star rating for these. I've had them for 6 months now. The red light remains on forever. The bluetooth won't connect to my laptop anymore (it used to). They don't connect to the PS4 (never did but harman support said something about ""future update on the way""). The battery life is really short, or maybe mine are just lemons. When I was using them I usually ended up completely wired with cords coming from both ears, the power cable and the 3.5mm.GOOD:Every review raves about how good these are so there's not much more to say. The build quality is my favorite part.BAD:Bluetooth only connects to my iPhone 5 and nothing else anymore.The battery life sucks.There's no reset button.There's no software to tweak or help troubleshoot.The band over the top can be uncomfortable.For this price I expect more. If I'd stayed with a wired headset I'd be happier.",2.0 out of 5 stars
76,they came defective and even if they worked properly the sound level is weak. It's no wonder they keep dropping in price. Seems like stores just wanna get rid of them.,2.0 out of 5 stars
77,"These are a great set of headphones for use at work. I found them very comfortable, I can code all day with these on. Sound is excellent, and works really well with a mobile phone (as you'd expect). I actually preferred the sound quality when using Bluetooth rather than the cable. Battery life is awesome - lasting we about a week of daily use at work. No sound leakage at all. You won't bother anyone with these.BUT - The Bluetooth decoding died in one side of the headphones after about the 3rd recharge.  I am about to return mine and get a set of Sennheiser Momentum 2 Bluetooth headphones as my supplier (not Amazon) couldn't get me another set. It's probably just a bad set, but I thought people should know. I got mine for £150, so they were a bit of a bargain.",4.0 out of 5 stars
78,These headphones are one of if not the most beautiful headphones I have ever seen. Bluetooth sound quality is the same as it is with wire. Sound is just so good and clear. The base is not the strongest but that way you can her a lot crisper and cleaner sound.,5.0 out of 5 stars
