,Ratings,Reviews
35,4.0 out of 5 stars,"This is my favorite among others, like those in-ear buds whose bass output is superb, but...I said but due to the tendencies to hurt your ear canal after a while. Most of my older headphones are made by Sony and Sennheiser. This Sony MDR-G45LP is light and comfortable to my ears and ear cannals, but Sony has something to do about it because the slit below that part of the plastic headband which hold the tiny electrical cord to the other speaker is ""biting"" the top skin of my ears due to its weight after long hours of wearing it. If you're planning to buy this style of headphones, and you use this for exercising or jogging/running, you are better off to buy that other style that has the slit positioned at the side (not at the bottom) of the head-band. I don't want to return my headphones to Amazon that's why I wrap that portion of headband with soft fabric, and planned to replace it with a short transparent plastic tubing later. You cannot buy a pre-split tubing, therefore a sharp kitchen knife or an Exacto-knife will be handy for this; just watch out, and avoid slitting your fingers ;-)"
36,4.0 out of 5 stars,"As others have stated, it doesn't have much bass at all. But it's still good headphones. I work as a custodian at a grade school at night and I don't like ear buds (they keep falling out because I am cursed with freakish ears from the pits of hellish fire).... Anyways, good for work and for exercise. :) I likes. :)"
37,5.0 out of 5 stars,"I think this is my 4th pair! They're great - they sound good, they're easy to take off and put on, they're light and comfortable enough to wear while I'm working out. And I don't need to stress that someone's going to steal them because they're crazy expensive!"
38,5.0 out of 5 stars,"While they don't offer triple-deluxe-ultra-mega-whatever-sound like those $300 headphones the music junkies brag about, these headphones will let you listen to music. Ta-da! That is what they are supposed to do.

Plus, they hold onto your ears really well so running and other athletic activities.

I bought my last pair two, maybe three, years ago and they last that long despite all my time in the weight room."
39,1.0 out of 5 stars,"Sent this back, sounded great first day or so but had a rattle to one ear. Speaker was not secure in its cup, wires disconnected from base, lost sound. Manufacturer defect."
40,5.0 out of 5 stars,"From advice from a friend I bought 3 pairs of these, one to leave at home , one at work and a spare for anything else that comes along. I was really amazed at how good they sound. I like the behind the neck simply because it makes wearing a hat some much easier when I walk. I use these with a shuffle MP3 player most of the time and for me there is more than enough cord and the plug angle is no problem at all. Also as a Prime member it was free shipping and fast delivery. Amazon is great!"
41,1.0 out of 5 stars,"First, yes I know it was my own stupidity. But, when I search for Bluetooth headphones and the picture comes up showing headphone WITH NO WIRES attached, I assume they are Bluetooth headphones. They aren't. My bad, but I still feel ripped off."
42,5.0 out of 5 stars,"I have tiny ear canals and can't comfortably wear earbuds, but when I ordered these headphones, I had a job hanging price tags at a grocery store, meaning I needed headphones that would stay in place. They do, and there's no cord to tangle when I store them. They're lightweight and have survived in my purse for months. LOVE them."
44,3.0 out of 5 stars,"these are great for the price. I needed something that if thrashed, wouldn't bother me (due to purchase price). These work and take a daily beating, so far they are surviving."
45,5.0 out of 5 stars,"My favorite headphones ever. I've had a few of these throughout the years, and I'm very happy they're still available for purchase. They last longer than any other headphone I've ever used."
46,5.0 out of 5 stars,I was looking for headphones that didn't feel so heavy on my ears and these were perfect. They don't sit on top of you head they go behind which I like and are very lightweight.
47,5.0 out of 5 stars,this is my third pair. love them...all still working.
48,5.0 out of 5 stars,"Works great, good sound quality, comfortable. Replaced these for the same pair I bought almost 10 years ago."
49,4.0 out of 5 stars,"These are the best behind the ear headphones you can get at this price! I already had a pair that was wearing out. They are perfect for wearing in the winter because they keep my ears warm, especially for taking long walks! And, they do not hurt my sensitive ears. There is no deep bass on some songs, but deep enough for me. When it comes to earbuds, which are annoying most of the time, you have to push them deep into the ear to get that deep bass. I gave 4 stars for the cheap plastic and foam ear covering."
50,5.0 out of 5 stars,Fits well; great sound quality. This my third purchase of these headphones. I ruined my first pair by accidentally clipping the cord with garden shears. This is why I always keep two pair on hand.
51,5.0 out of 5 stars,"I don't know how the behind-the-ear headphones aren't bigger. Ear buds are the worst successful invention ever. Full headphones have great sound, but get too bulky. These are perfect for using at work or at the gym. Good sound and a great fit. After I lost my last pair and couldn't find another replacement in stores(Target, Walmart, Shopko, etc.), I found them on Amazon. I bought a pair for me and the girlfriend. She loves them too."
52,5.0 out of 5 stars,"These are the best behind the neck headphones

The sound quality is crisp and clear
Good bass
Snug fit for avid runners

I tried others and always come back to these for the last 7 years"
53,5.0 out of 5 stars,You can't beat these for the price. They are truly audiophile-grade as opposed to the usual bass-heavy crap out there. They are perfect for the spoken word (podcasts) too. Pretty darned comfy too.
55,5.0 out of 5 stars,"I can't recall where I purchased my first pair of these headphones, but I just got my second pair in the mail. These are simplistic, sexy, and functional. There's no doubt about it. They fit perfectly, they have great sound quality, and they last more than people suggest. Yeah, they feel flimsy at times, but nothing that bad, and they're more durable than you might think. Always pleased with these. :)

For the record, the reason for having bought a second pair is because the right side of the headphones on my first pair was no longer working. Which is to be expected considering how long I'd been using them. Nothing to complain about, especially at the price. :)"
56,4.0 out of 5 stars,"I can't use ear buds. They simply fall out at the slightest movement.

So for working out and doing chores, I use these. They stay put and sound pretty good for the money. This is probably my 4th pair, and as long as they keep making them I will keep buying them.

My only complaint is that they only last 6 months or so before one of the ears go out. I do use them a lot however, about 20-40 hours per week."
57,5.0 out of 5 stars,This is my third pair and each has lasted about 2 years with heavy usage-
58,4.0 out of 5 stars,"These are the headphones I use for working out when I go lifting, and running. They hang onto my head/ears just great"
59,4.0 out of 5 stars,"I don't like using ear buds, they never stay put. Maybe I have small ear holes? Either way, these are great because fit right over the top of my ears, so I don't have to worry about them slipping off. I've had them for two or three years now and the fabric on the inside of the headphones is starting to wear thing and come off. Then again I wear them all the time, especially when I workout, so I feel like 3 years worth of use for such a cheap price is totally worth it. The only complaint I have is that sometimes my ears get sore from the plastic on the top, but that's only after wearing them for a long time and it's still better than the earbuds constantly falling out or the giant padded ones that make me feel claustrophobic. Overall, good simple headphones for a great price."
60,4.0 out of 5 stars,"So far
So good"
61,5.0 out of 5 stars,"These are the best. They sound good, are inexpensive, and the best part is that they don't mess up your hair. I don't like the feel of earbuds and as a female, I hate big ear phones over my ears - they sound great but flatten my hair. For these, the ear part covers just your ears and the headband part goes behind your head, under your hair so no muss. I'll never go back!"
62,5.0 out of 5 stars,"For the past four years my wife has been looking for the perfect headphones to use while she exercises at the gym, and I mean three/four days every week. She bought these on the recommendation of a fellow gym member and the search is over! They are lightweight, have a single cord, and sound great. Because they go behind the neck rather than over the head they are more comfortable and reduce sweating. She loves them!"
63,5.0 out of 5 stars,I love my Sony Street style headphones they rock! :D I love the behind the head style. And I love the sound quality for the price.
64,5.0 out of 5 stars,"These are the only headphones I will buy, I love the way they fit around the back of my neck and not on top of my head. I hate earbuds,these are perfect for me. They have awesome sound, not completely noise cancelled, but I like being aware of things going on around me...the sound is great, and they don't mess up my hair. My son tried mine, so had to get him a pair too...very light-weight, and the bass is great. Mine have lasted me a long time."
66,5.0 out of 5 stars,"These inexpensive wonders of technology provide the sharpest sound and the highest treble available. If you appreciate crystal clear music that remains ""whole"" while hitting the highest notes, these are the ones to get."
67,5.0 out of 5 stars,Great - great - great. Hard to believe these behind-the-neck earphones are hard to find on the street but they are. Even box stores don't have them. Lucky we have Amazon for stuff like this.
68,3.0 out of 5 stars,"lightweight, bass sounds okay but not great, pressure is not too much on ears, cord should be longer"
69,5.0 out of 5 stars,"I have had a bunch of pairs of these, they are the best.

I use them for skiing, biking, and anything active. I especially like the loop-around the head style because it is easy to take one in and out without having to look or use two hands, no guess work.

I am a male with long hair and I also like that it conveniently goes right under-neath my hair bun.

The sound is decent and they can take a lot of sweat, but can show signs of stress if put under too much pressure or banged around a little. Most of the time I just notice a slight noise when I am handling them, but there is no affect on the sound quality."
70,5.0 out of 5 stars,I've been buying this model for a few years locally. Decided to see what's online and happy to find them a little cheaper. These are my all around headphones and love them. Double check recordings with them and the studio headphones to see where I'm at in doing the mixing. These are also my ipod headphones. I almost live in headphones and I'm hard on them. These hold up pretty good with good sound quality.
71,5.0 out of 5 stars,"I love these, the sound is good , and i like the way they fit your head."
72,3.0 out of 5 stars,I guess Sony doesn't make stuff like they use to. Theses were a replacement for a pair I bought 8 years ago that had awesome sound. The sound in these is very tinny sounding and I have to crank up my iPod. The one good thing I can say about them is I didn't have to use the jaws of life to open the packaging.
73,4.0 out of 5 stars,"I like this style of headphones for working out in. Earbuds are painful and other styles don't stay on. These worked well, good sound, stayed in place during my 3 mile run. Had an older pair that failed to keep a connection but they worked for years before that. Nothing lasts forever. I would buy again."
74,2.0 out of 5 stars,"The sound is ok, but they won't stay on. I have to almost hook them on the top of you ear (not comfortable) and even then they want to slide off."
75,5.0 out of 5 stars,I love these headphones. They are light to run and music sounds very good. Once I bought similar on Phillips and Maxell but have nothing to do with these. Worth paying the price.
77,4.0 out of 5 stars,"Comfortable, light, good sound. Only negative is no volume control, but otherwise a great buy."
78,5.0 out of 5 stars,Very satisfied
79,5.0 out of 5 stars,Amazingly comfortable and the sound quality is good.
80,5.0 out of 5 stars,"Great sound, priced right."
81,5.0 out of 5 stars,Best value for the money and they are comfortable when lying in bed. I've used these for years and gave a set to my wife who loves them too.
82,3.0 out of 5 stars,"These pair of headphones are very, very loose. I have used Sony's behind the neck headphones for the past 6 years and every single pair has had at least twice the clamping pressure...which isnt a bad thing if you want them to stay put. They should stay put, not move or bounce around with any movement. And I have a bigger head too, it would be even looser on a smaller head.

The sound quality is what you would expect from $14 headphones, decent sound. Build is lighter and feels cheaper than my previous sony headphones.

Conclusion is I can't recommend these headphones because they are way too loose, if you aren't moving at all then they might work for you."
83,4.0 out of 5 stars,"Comfortable, good sound. Not very rugged. I'd like it if they made the place where the cord goes into the plug more robust. Eventually they develop a loose connection there if your running motion stresses that connection. But, when that happens, I still buy another pair because nothing else I've found works as well. (I use a wired headphone so my FM radio will work)"
84,2.0 out of 5 stars,"Sony has let me down once again.

I only bought these because I had newly pierced traguses and needed something of good quality to go over my ears. There was a better version of these headphone but as usually, they discontinued it, and we are left with these crappy ones. These are so bad that I decided to just remove my piercings early, suffer the bleeding and swollen ears to put in flat backed piercings so that I could wear NON-Sony earbuds again.

I have a bad history with Sony. I have had to buy $400 in headphones from them (before I realized it) because their phones and earbuds have a tendency to fail after a few weeks, no matter how well cared for, the left ear ALWAYS goes out. When I call and ask them to improve the product they never do. When I get a replacement pair (not a refund) when my earbuds quit working after a week, the replacement pair also breaks or I am charged for it. Between my poor history, my Sony Playstation Network account being hacked and my MP3 Walkman being on the fritz since I first bought it, I'm done with Sony for the most part.

DO NOT WASTER YOUR MONEY!!!!!!!!!!!! Take it from an expert at wasting money on Sony. If you choose to take the risk, prepare to be completely disregarded by the company!"
85,4.0 out of 5 stars,Bought these for family member who prefers the street-style headphones. Good value for the price. I would give 5 stars if it had mega-bass feature.
86,5.0 out of 5 stars,"Why spend a bunch of money on sweat resistant headphones? These work just fine so far. I went through 2-3 different sets of sweat-proof headphones because when running 4 miles then doing P90X or P90X2 after I sweat ALOT! I know if headphones can keep up with my drainage from my pores within a couple days. These hold up I run with Oakley's mainly and the conveniently hold them down so my glasses aren't bouncing around the headphones stay in place and are comfortable and provide great sound. I also have Dr. Dre Tours, Motorola Bluetooth (Didn't hold up to claims of being sweat proof) and Skullcandy Hesi so yes the sound is good for working out. The sweat also conveniently is soaked up and drains off rather than completely in your ear unlike the Tour in ear headphones."
88,3.0 out of 5 stars,"as advertised, can not stand those ear bud types."
89,5.0 out of 5 stars,"For the price, these simply cannot be beaten. Sounds excellent, and great for working out, that's what I use them for!"
90,2.0 out of 5 stars,"I got these for jogging but ended up not using them for that because my music wasn't loud enough or clear enough for me. And I wasn't expecting them to sound perfect or anything... If you like your music pretty decently loud and clear, these might not be for you. I ended up getting the adidas sport in-ear neckband ones instead, which were also pretty reasonably priced but gave more clear and a little louder sound, again not perfect sound, but a lot better than these. Now my son uses these when he's playing video games I don't want to hear, so at least we found a use for them!"
91,5.0 out of 5 stars,same as the one I've been taping together for 3 years. Finally a new one. Hard to find a behind the head at this price.
92,3.0 out of 5 stars,"This is really a good headset, however, the only problem is that they cannot be adjusted. They are slightly too big for me any I cannot adjust."
93,5.0 out of 5 stars,"They are not kidding, these bad boys are LIGHT!"
94,5.0 out of 5 stars,"Great sound, comfort, the convenience of neckband headphones. I bought a pair for myself and one for a gift. My friend and I are both very well-pleased. They have also held up well under heavy use."
95,5.0 out of 5 stars,"I bought these specifically to wear them while I had my motorcycle helmet on, and once you get the headphones settled into the ear pockets of the helmet, they work great. The neck band comes out under the bottom of my HJC and G-Force helmets, doesnt interfere with the fit."
96,4.0 out of 5 stars,"Quality is surprisingly decent. But MUCH too quiet. Works for getting by, but if you like to listen to reasonably loud music (not ear bustingly loud, but certainly loud), this device is NOT the one for you"
97,5.0 out of 5 stars,Yet another replacement for a son who loses or breaks things--great stocking stuffer. He requested this item and I know he likes it!
99,5.0 out of 5 stars,"Arrived dead on time no issues with customs, mainly use them for work, I work long nights in a stock storage so this makes it easy for me to get in with my job and not worry about the headphones being ripped off my head or causing me to get caught in any machinery, they are reasonable loud but not too much I can't hear my boss when she's got orders for us. Great product when your on the go and just need something to take you out of the tedium"
100,5.0 out of 5 stars,"This is my favorite style headphone, but don't expect too much and you won't be disappointed."
101,5.0 out of 5 stars,"I love these headphones. I'm glad they're still available on-line (Best Buy no longer carries them, evidently due to consumer-related complaints re skin contact with the plastic, resulting in irritation). These headphones are inexpensive, comfortable, and very durable. Music sounds great whether using them on an i-Phone or a Sony ""Walkman"". The plastic is strong yet flexible, and very difficult to warp or break. The Foam Pad Ear Covers will begin disintegrating after six months of daily use, so plan on purchasing replacement pads for future use."
102,5.0 out of 5 stars,I love these. They're cheap and they don't leave a band mark on the top of my head.
103,5.0 out of 5 stars,these headphone work awesome love them
104,5.0 out of 5 stars,perfect for treadmill use.
105,4.0 out of 5 stars,"I chose these because I have a smaller head. They turn out to be a good choice for that. I am very pleased with the price versus sound quality. In fact, I recently bought a second pair for home use (the original pair are in the office). I might wear them, with breaks, for a few hours at a time. There might be a better pair out there in terms of how they fit my head, but these are good enough for the price and all that they do for me."
106,5.0 out of 5 stars,"Have you reached the point of frustration with cheap ear-buds that work for awhile but won't stay in your ears or get pulled and loose sound on one side? I had reached that point so many times that I was looking for exactly this product, fits comfortably over the ears, sold frame, corded on only one side so less likely to get snagged and pulled - and the sound is phenomenal for headphones in this price range!"
107,5.0 out of 5 stars,"Simple, very inexpensive and do the trick. I listen to these everyday on the way to work on transit and back. These aren't Bose or Beats but heck, either is the price. The wrap around design is super convenient for those like myself that don't want to mess up my hair! Great value, good volume, decent sound, no brainer."
108,5.0 out of 5 stars,Love these for exercise. They take a beating and stay in place even when soaked in sweat.
110,5.0 out of 5 stars,I have used these headphones as an on-air personality and I love them. They are light weight and the sound is great! Great service.
111,5.0 out of 5 stars,So light and really works well even with my glasses on. I see no problems. I do use them upside down since the equipment is on my right. Works just fine.
112,5.0 out of 5 stars,great for what I needed
113,5.0 out of 5 stars,Use them all the time.
114,5.0 out of 5 stars,I like this style of headphones. They are good for people who wear hats because they fit behind the head.
115,5.0 out of 5 stars,"I had this style of headphones years ago, and they finally gave up the ghost, and was glad to find them still in production. The only difference from the older pair is the missing volume control on the cable. However, it was this that caused the problems on the old pair, so maybe that's why it was omitted.

I like them because they don't get in my way, don't fall off my head and I can still hear people and phones - don't block out external noise, but good enough to listen to most things!"
116,5.0 out of 5 stars,the sponge material that is on my old headphones deteriorated so I bought these. I didn't have any expectations for these just wanted a new pair really and they're good. I prefer these headphones style headphones to the ear plug ones because those tend to hurt my ear if I'm wearing them for too long especially if I have to pull them out and put back in.
117,4.0 out of 5 stars,"I despise earbuds - they're uncomfortable, worse for your hearing, and I think my ears require two different sizes. But the nicer headphones I use for pure listening just don't cut it when you're running, etc. I searched a lot for something suitable, and finally found these. They've been great. The build quality is nothing special but it's fine for what I paid."
118,4.0 out of 5 stars,It's ok. I like the angled plugin.
119,5.0 out of 5 stars,Bought three of these for my girls for their MP3 players and their 3DSs. I wanted them to have something like this to maybe help preserve their hearing rather than the ear-bud type that focuses all the sound directly into their ears. Good price and they do the job handily. My kids are totally happy with them and they couldn't care less about sound quality so I can't vouch for that.
121,4.0 out of 5 stars,They have worked well so far. They sound good and are comfortable.
122,5.0 out of 5 stars,I thought this headphone was gone forever! Perfect for me.
123,5.0 out of 5 stars,"Very good sound quality. The only problem I am running into is that the crook around the earphone part pinch my ears after prolonged use. Otherwise, these are good quality headphones for the price."
124,4.0 out of 5 stars,"Sounds great. Use then for our Praise band at church. Would love to get more if some one would donate about 5 to my church. Great Acres Baptist Church, smyrna ga"
125,3.0 out of 5 stars,"Good for listening to youtube videos, not for music. Save up for a better pair of head phones for music."
126,5.0 out of 5 stars,I try buying different headphone but always come back to these. The quality and the fit for the price is unbeatable.
127,3.0 out of 5 stars,"Acceptable sound, but it does not fit all heads."
128,1.0 out of 5 stars,"These things cut the volume down so much that I couldn't hardly hear anything through them. Nothing wrong with my mp3 player, or my ears, just a defective unit I guess. I would have returned them except they were so cheap it wasn't worth the trouble, so I just tossed them."
129,4.0 out of 5 stars,It‘s good
130,5.0 out of 5 stars,"i do not face any problem with it at all. it fits me fine and sound is great. i do not know why people write bad reviews about it.
yea, there's no privacy with it i.e. others can hear you little bit. but that's the point of having this headphone so you do not destroy your ears rather let the sound spread out. i like it. perfect for me. alhamdulillah."
132,5.0 out of 5 stars,"Replaced my old 20+ year old model which took a dunk in a cup of coffee. I was happy these are still made. Great comfortable lightweight little headphones for the money. Unlike most headphones, which are rigid, this neck wrap is a bit flexible, so it will automatically adjust to fit, and there is no uncomfortable pressure on the ears. I forget I'm wearing them. They work will with my glasses and hearing aids. The earpiece is foam covered, and I understand they are replaceable, but , the same foam pieces lasted on my old one until it bit the dust. I use these with my laptop to watch movies or youtube."
