,AILIHEN C8 Headphones with Microphone and Volume Control Folding Lightweight Headset for Cellphones Tablets Smartphones Laptop Computer PC Mp3/4 (Grey/Mint)
7,My son got these for Christmas and after he got back to college they broke after about a week of use. I'm sad because they were so expensive and he barely got any use out of them
8,"Seemed very promising, but the quality sucks. The headphones broke with in a month. Do not buy."
9,Kid loves them. Comfortable to wear.
0,Stopped working after 3 days. Don't waste your money.
1,Fit well. Great sound.
2,"My daughter loves it..
All that matters."
3,"Earphones worked great til about the 2 month mark, they started doing that annoying ""only one ear plays music"" thing..."
4,"The foam cushions came off very easily, and now the headphones are not useable. Disappointed."
5,"Arrived quickly, works well. My husband is a DJ and his headphones broke. He needed something to get him through a wedding this weekend and said these worked better than expected and he is very impressed."
6,Love these headphones! They sound great and the microphone works well with my iPhone. They are well made and fit comfortably. The color is perfect. I would definitely recommend these.
7,👍👍
8,Better than what I expected.
9,nice
0,My son loves them!
1,"These sound really good! They fit my head well (I'm a size 8"" fitted cap) if you are used to studio quality sound then you might not as satisfied however totally nothing wrong with these headphones. Excellent purchase."
2,Granddaughter loves these
3,"I have to say I liked this product when I first got it. The packaging was nice with no damage! However these headphone did not hold up for even a month. They did live up to their standards however the wiring did break so only one side worked, but was really drowned out."
4,"Worked great for a while. After about 6 months, one ear is losing sound. I did like that I could fold the headphones and put it in a bag easily. Sound was great while it lasted."
5,The other earphones broke sound
6,They are nice headphones for a cheep price. They work well. But if you ware them for to long they do start to heart you ears
7,"Sounds great, I decided to buy another one as a gift."
8,I received my headset and it worked perfectly but after 2 weeks of use on of the speakers stop working but that what you get for a $20 headset
9,"I bought 2 pairs for my grandsons just before Christmas, the blue pair already has a bad wire and they don't work, not sure I would buy again, less than 90 days of use, not very durable!"
0,My son loves them!
1,"These sound really good! They fit my head well (I'm a size 8"" fitted cap) if you are used to studio quality sound then you might not as satisfied however totally nothing wrong with these headphones. Excellent purchase."
2,Granddaughter loves these
3,"I have to say I liked this product when I first got it. The packaging was nice with no damage! However these headphone did not hold up for even a month. They did live up to their standards however the wiring did break so only one side worked, but was really drowned out."
4,"Worked great for a while. After about 6 months, one ear is losing sound. I did like that I could fold the headphones and put it in a bag easily. Sound was great while it lasted."
5,The other earphones broke sound
6,They are nice headphones for a cheep price. They work well. But if you ware them for to long they do start to heart you ears
7,"Sounds great, I decided to buy another one as a gift."
8,I received my headset and it worked perfectly but after 2 weeks of use on of the speakers stop working but that what you get for a $20 headset
9,"I bought 2 pairs for my grandsons just before Christmas, the blue pair already has a bad wire and they don't work, not sure I would buy again, less than 90 days of use, not very durable!"
0,"I bought 2 pairs for my grandsons just before Christmas, the blue pair already has a bad wire and they don't work, not sure I would buy again, less than 90 days of use, not very durable!"
1,"I typically don't write reviews, but I absolutely love these headphones. They are the best pair that I have ever owned that weren't awfully expensive to purchase. I would buy them again."
2,At first we were really pleased with this product. However it has now been exactly two months since we've purchased them and they are only working in one ear. I would not waste money on these.
3,"Great product, very durable! Great quality ! Solid sound, my son is 7 very comfortable.."
4,"They worked fine. Pretty color. You may notice I used past tense. Our puppy already chewed thru the cord rendering them useless, unfortunately."
5,Great sound. Easy to use & comfortable.
6,"Pretty color. Good quality product. Cushioned ear pads are soft and very comfortable to wear for a long time. Good sound control.
Excellent product."
7,Great!!!!
8,Purchased for daughter. Pretty color. Headphones didn't even work for a full day. Printed return label and sending back. Don't waste your money or time with this product.
9,"Love the color by stopped working about a month and a half after we purchased them, now all
Sound is muffled and sounds like you're under water, would not buy again."
0,"Love the color and love that the cord feels similar to a cloth, thin, rope."
1,"My son loves these! He's 6, and they fit him perfect and they are very durable. They also fit me! I know the noise cancellation works well, since he yells at me when he has them on lol"
2,It sounds nice I haven't had a headphones way to many years. So I have nothing to compare to. I like them so far thank you. And the color is fun and bright blue that is.
3,work ok should be extra careful with cord
4,Bought these for my little sisters birthday. They arrived on time and she loves them. The color was exactly what I expected. I'm very happy especially for the value! I plan on buying a pair for myself as well.
5,"Bought for one of our children for road trips, works great with all his electronics"
6,not very loud
7,The sound is great. The volume and mic are a great length on the wire. I use these at my job all day long. Call quality is great. i can hear them clearly as they can hear me perfectly as well.
8,Son loves them.. came on time to. Great product.
9,"You get what you pay for. The material feels cheap, the audio sounded poor and the headphones where way to wide for my head. They look decent and will work if you're not looking for high quality music streaming."
0,These broke within weeks of receiving them. The metal piece that goes into the headphone jack bent. These are not good quality and I would not recommend.
1,They are great! My son especially likes the volume control on the cord.
2,Excellent product!
3,Didn't sound as good as I had hoped. Pretty color and sturdy built and I liked the volume control. However they did not sound very good. Apple headphones sound better.
4,"They broker after a couple weeks, but while they lasted they were very good. I don't personally think it was worth the money, sorry to say. Maybe invest in something a bit more expensive?"
5,Great sound. Excellent so far. The only problem which is minor is the adjustability is for adults only. Too big for my 11 year old that I bought them for. Great price so I will keep them as a back up or use them myself.
6,My daughter wanted these to use with her laptop. They are comfortable and the sound quality is good.
7,For the money they are great headphones. Very good sound reproduction qualities.
8,"Great product for the price. The only thing (for me) is I have a big head and wish the adjustment would be longer to totally secure the ears. Regardless, the product is great and my music sounds fabulous. Highly recommended."
9,"Far from sound proof of any kind, but I know they're not advertised as that. Sound is good, and they're comfortable."
0,"I've had these for about a month, I don't use them often and I take care of them... The mic has already gone bad on it. It sounds like I'm underwater.....
They look cute though?"
1,It stop working in less than a month. the connection went out as it seems the wiring has a problem near the 3.5mm jack. Could not rehab the problem and had to purchase a replacement.
2,"The headphones may look nice and be comfy, but the audio quality is absolutely horrendous. Voices sound muffled and have a grainy quality. Mid tones are lacking and high tones are nearly non-existant."
3,"Bought them for my wife and she loves them.
She like the soft feel on the ears, not hot like some full headphones but still has good clarity.
She is going to order more and send as gifts."
4,Loved the headphones. They were a little big for my son's head but he will grow into them. The sound quality was great and the quality of the headphones were great as well. All around the headphones are amazing.
5,"Great headphones for kids, well built and great sound quality."
6,Headset appears to work good. After four (4) month only sound that could be heard was static.. Music can be heard when move around but talking would be drowned out when used on laptop and cell phone.
7,"Love, love, love all of my Ailihen Headphones they have a nice clean sound."
8,Cheap
9,Good stuff as advertised.
0,"The button pressed three times does not rewind songs, but everything else works."
1,Very nice headphones and a very nice price. Amazing sounds
2,I like that the sound was very clear and headphones fit comfortable.
3,No complaints.
4,I am extremely pleased with my headphones. Amazon has never let me down so far. And I will continue shopping with them.
5,Im completely satified!
6,Haven’t had them for even 60 days and they have a short in them. So disappointed. We are out of the 30 day return window so we are out of luck on having them replaced.
7,"These work great, sound great. Love it. What a deal!!"
8,Great value for the quality. Earbuds cover so well that our son can't hear us talking to him.
9,"Product feature is good. Sound quality is commensurate to the price. However, the product is bit on heavier side and using for around 30-45 minutes makes the ears to ache."
0,"Great headphones, have to take them off to hear what ppl are saying....ALMOST sound deadening !"
1,My son loves these headphones
2,Only one side work.
3,"After about 1 month of using this product, the sound went out. Can't hear anything through the headphones anymore. I would strongly recommend NOT purchasing these headphones."
4,My daughter loves them
5,not too happy work great but the one side already has the cushion part falling off
6,"Music play is definitely better. More continuos, also better reception during bad weather."
7,They are exactly as described. Very soft cushion on ears. Daughter loves them.
8,For the price excellent head phones! From treble to thumping bass yeow!!
9,"My son purchased these for himself and he seems to love them. The sound is loud and clear. The folding option is nice as he can fold and store with ease. Good service, fast shipping. Item arrived one day early."
0,Was pleased with this product until recently. My son received these as a gift and now the interior wire has become disconnected after a couple of months and does not work on one side...
1,"The headphones were a quick replacement for headphones that quit working just prior to a family trip to Hawaii. My son was thrilled with them initially (they looked cool and worked well). Unfortunately this didn't last long. About 2 weeks after getting back from our trip (and about a month after receiving the headphones), the audio connector snapped off inside my son's kindle fire. Not only did this make his headphones unusable (cable is an integral part of the headphones), but also kept him from hearing any sound from his kindle. I ended up having to take his kindle apart to remove the broken piece. This was not any easy task, and I'm lucky I didn't destroy the kindle in the process."
2,I bought these for my daughter for school just a few weeks ago. The color is awesome and they seem pretty durable and sturdy. I'm not sure what the cord is made out of but I love it and it looks as though it will hold up nicely. My daughter is 8 and is super big for her age so these fit her really well.
3,"My son needed headphones for school.. Green is his favorite color so these were an even bigger bonus! They work well and I am not worried about him getting an ear infection from earbuds being in his backpack for a week with who knows what, since they don't go in his ear."
4,"The sound quality was good, both listening and for the person on the other end of the line. I gave this a 3 star however, because I did not find the headphones very comfortable. They pinched my ears a bit and I am looking for headphones I could wear for multiple hours. These are on-ear headphones."
5,"I ordered this headset and liked the fit and color very much. It was a lot more comfortable than headsets I had used in a similar price range. After 4 months the 3.5 mm plug connection to the phone was not working properly and the audio would fade in and out. I contacted Ailihen and they responded promptly and made some suggestions of 4 things to try to solve the problem. After trying the 4 suggestions with no improvement, they offered to send me a new headset free of charge, which they did and I had a brand new headset within several days. They were very professional and kind in their interactions. In summary, a great headset for the price and excellent customer service."
6,10 year old daughter is loving these... I'm a little jealous too. LOL. They appear to be of very good quality and have decent sound reproduction. Love the fact they're one cord only. Daughter also likes the volume control and pause button in line. She also likes the mint green color. Can't really complain.... Pirate approved.... Arrrrrrrrrrrrr!
7,"Very cute and comfortable. The sound quality is better than I expected for the price - not bass-heavy, so it's not gonna feel like Beats-style imitation headphones, but it is clean and crisp sound. Only major problem with them so far is that the sides aren't adjustable, so they are just ever so slightly too large for my head - I wouldn't be able to work out in these because they would fall off, but listening to music or watching videos they work great."
8,"I purchased this in early February. When I got it, it was great. Good sound, comfortable to wear, worth the price.
But despite taking care of it, at the end of March, the headphones started having issues. Now my left side is wonky. I have to hold the cord a right way in order for me to hear sound coming from the left. I've had cheaper headphones that worked longer than these.

If my headphones didn't have issues a month after purchase, I would give this 5 stars."
9,"light weight, great sound.
We purchased this headphone for our son who is very ""rough"" on items. It has truly helpup to all the use he has put it though. I love that they fold down for easy storage. Great purchase for children."
0,Came broken. Do not recommend.
1,"Junk! don't waste your money! bought one and it broke right away, exchanged it for a new one and that one lasted about a week."
2,You get what you pay for. Really cheap product that stopped working about two weeks after receiving it. Return window had closed by the time the left ear fully cut out.
3,"Looks good, but I don't like the volume control - it is hard to operate with it."
4,exactly the way they looked in photo and shipped fast
5,Good quality for the $$$$
6,Came quick. Works fantastic.
7,"the sound quality is surprisingly great! Very much worth it for the price, great quality."
8,"I bought 2 of these headphones, 1 blue and 1 pink and they are great, my kids love them!!!"
9,Not even a month and one speaker went out.
0,First impression wasn't so good. But after maybe two months of use I can say that these Headphones worth it! Pretty good sound and comfortable (more or less).
1,Very good
2,"i bought these on Prime Day, and am very happy with the deal i got.
i have bought 3 pairs of headphones on Amazon recently.
One broke. One didn't work well.
This is the best pair."
3,"Compact, portable and works great!"
4,great
5,"the wire connection broke after 6 weeks - that was disappointing. Prior to that, sound quality and mic quality were good."
6,"Great headphones. It doesn't completely block out background noise, however is sufficient on trains and planes."
7,"Love these headphones. Comfortable fit, great sound, good quality and received quickly."
8,Work great. Excellent service!
9,One headphone already doesn't work. Would not recommend.
0,Well made. I like them. They are headphones that I use to listen to music at work. Very satisfied.
1,"I purchased these for my 10 year old daughter. She loved them. Good fit and sound, also foldable. Great price. Thanks!"
2,"Good product! Nice and smooth sound, really enjoyable."
3,My daughter loves them
4,These were a gift to my daughter. She is very pleased with the headphones. Thank you for prompt service.
5,They broke within 2 months not so happy. But quality hearing.
6,Comfortable and great sound
7,Just as advertised. Got them when promised. Great quality for the price.
8,My eleven year old son likes these headphones. Comfortable to wear and they work great. Easy to store. Happy with this purchase.
9,These headphones are okay. I broke mine very easily. Plus the left side headphone stopped working after a while.
0,"The sound is great, the adjustable fit works for both a 10-year-old and a parent. They are also exceedingly comfortable."
1,My son received these for Christmas and they are working great for him! Good headphones for the money!
2,This was a gift for our daughter (9yr old). She absolutely loves them. They are comfortable & she likes the pause & volume options on the cord. Great gift option for anyone!!
3,They are for my child and she loves them! Great product. She can listen well out of them
4,"The headphones are beautiful blue-green, comfortable, really good sound, and great price (smiles)."
5,Use these at work all the time! They fit perfect and actually look like really high quality headphones
6,"My daughter really enjoyed the headphones, though her use has been limited. Unfortunately, after only a few weeks, the headphones no longer work properly. I cannot recommend them."
7,I love my Ailihen V8 Folding Headphones. They are comfortable and the long nylon cord is an invention that makes so much sense. I just bought another pair for a friend.
8,"They look nice, but I keep getting emails about doing a review so that is why a lower rating. We haven't used them yet because they are a Christmas gift."
9,"Headphones arrived quickly and worked as expected, and as described."
0,"Excellent headphones!!! Great price, too."
1,worked great for one week then crashed
2,Lasted almost a month before one side failed
3,Bulkier than expected. Usage was for sleeping so might be my mistake.
4,Good fit and comfortable.
5,The headphones arrived right on time and the quality is much better than I expected for the price. Great deal and service.
6,My granddaughter loved them. Great headphones.
7,Too early to determine.
8,"The headphones were delivered in time. I'm satisfied by the product itself, with the only downside that it starts to hurt a little when put for too long (around 45 min-1 hour for me) and even then its more a slight annoyance than a real issue."
9,Great value and terrific sound.
0,I ordered three of these all from the same manufacturer and distributor. They were all broken by the end of the first week. One of them was defective right out of the box. When I tried to email the distributor the email address no longer worked.
1,Beautiful headset clear and flexible great that I just received another pair
2,"Exactly what I needed! I wanted something that would allow me to make phone
calls from my google phone in a crowded environment with a lot of background
noise."
3,"Color , size , and softness speakers are very clear very comfortable"
4,Just what he needed.
5,Excellent product. I got it on time.
6,My son loves them. The color and fit is perfect for his head. Thank you
7,Just ok. These look cute but are not adjustable like every other headphones I've ever seen. So if your ears do not match up perfectly with the them...too bad. :(
8,Came quickly. This is my sons second pair and he specifically asked for these saying they are good.
9,I was unhappy with this item. The sound was of poor quality.. the worst problem was that the back ground music. It would overpower the audio and could not be turned down.
0,My son LOVES his head phones!! This is a great product for a GREAT price! I definitely recommend this product!! Love how comfy they are and how they fold away nicely!
1,Second purchase. first ones lasted a long time. Very well built. Can take a beating from a 16 year old!
2,"Love! They not only look great but more importantly, they sound great! Impressed with the value and comfort and would definitely recommend."
3,This was the best $9.99 I've spent in a long time. ☺️☺️☺️☺️☺️ Sound is great. Great quality.
4,I use it for my Xbox and iPad. Good sound quality but the ear phones do not turn so if you have it on for 15 min it hurts your ears. But other wise their pretty nice.
5,"My daughter loves this headphones, they have great sound and are perfect for her, she's 11."
6,"It's for my daughter- her Christmas present as she requested. It's not been opened yet, but I hope she'll love it."
7,Bought as Christmas present for Grandson. He gives them a two thumbs up rating!
8,Its functional but light weight like cheap plastic and the ear bud is small so it sits on my ears. Cheap for the price
9,They are a gift so they haven't used them yet....I am sure they will be very happy with them!!!
0,"Bought this for our 14 year old granddaughter, and the fact that she wore them a lot after receiving, is testament enough that they were worth it."
1,These are our second pair. Both pair have stopped working after a short amount of time.
2,These were of good quality. I enjoy the sound they provide as well as the nice teal/mint color. They are fairly comfortable and worth the purchase
3,"They are beautiful, great sound, and easily adjustable. I get feedback in the headphones when there isn't anything playing. It also isn't as tall as I need them and gives me a headache from the pressure on the top of my head."
4,Bought these headphones for my daughters birthday! Of course she loves them! Very nice and comfortable to wear also good quality of sound! Also the price of them isn't bad either!
5,Very happy with these headphones. Love the color and the sound is very clear
6,I liked the style the best. Least was the lacking of depth of the sound. Would give it 2.5 stars. Am actually paying for shipping to return it.
7,Good product with good quality.
8,Bought 2 pair...both have stopped working with very little use. Had one pair replaced and same thing happed. Not a good purchase.
9,Great headphones and super service
0,only one side of the headphones works.
1,"Not bad, but they don't hug my ears like other headphones that I have used in the past. They are also inclined, and in spite of adjusting the headband, to slip forward on my head if I lean over."
2,Great!
3,Product looks like the display. I enjoy my headphones not only can I listen to music but I can also talk through the mic and people have said that it sounds very clear !
4,Beautiful color and the sound is great. They are super comfortable and love that they can fold.
5,Very pleased with these headphones.
6,My daughter loves her headphones. She said they are comfortable with good volume. And she LOVES the color!!!!
7,"ok, but far from great sound was muffled compared to better headphones still in the $30 price point"
8,"My son loves the ""adult"" look and feel of these headphones. I like the volume control, so its a win for us both!"
9,Good product for use at school.
0,"These are Stereo headphones- meaning that the higher pitched sounds will be more powerful than the bass. If you're looking for bass-boosted ones, this isn't for you. They also broke within a month of using, after I was just getting used to them."
1,Awsome you cant hear any noises out side of them and the loudest voulume is louder than my phones highest volume
2,"I liked the color, also they are comfortable. But if you really enjoy sounds, this is not the best option. It’s poor quality."
3,"Had the headphones for about a month before one side gave out, and then another week before they just stopped working entirely."
4,"Love these headphones! Great sound and cool design, the only negative trait is that my pair stopped working in only a few months."
5,Great sound and durability
6,"Gift for my 8yr old, he loves them. I tried them on and they are very comfy and noise canceling."
7,"Bought 2 sets of these headphones as Christmas gifts. With occasional use, both sets have stopped working 35 days later. Would NOT recommend."
8,Love them! Lightweight good volume!
9,Headphones work flawlessly. They are vibrant and work as described. Price is great and would definitely order again!
0,"I like mine, they are soft and fit well on my ears and head. I don't get a headache when I wear them like some over the ear headphones give me. I use then a couple hours a night while doing homework and studying. Didn't block outside noise 100% but well enough that I can focus while my family watches TV in the other room."
1,"I am in love with this headphones, honestly talking I wasn't expecting much from it but it surprise me how good they are.
1st they are REALLY comfortable you barely feel that you have them on
2nd the music sound AMAZING in them the volume is perfect you can either have it loud or low with no problem
3rd and this is a plus, you don't hear your surrounding, which for me is great cause I want to listen to my music not to what the person next to me is saying
In simple words they are perfect. 👍👍👍"
2,"Light weight, sound quality is good (very good for gym), and construction, even though plastic, is good. The fit over the ears is acceptable but could be better. If you are looking for significant noise cancelling, these are not for you. But they do help. Overall and for the price they are worth trying. No regrets."
3,"Great seller, bad product. Bought one set, the sound went out in one ear within weeks. Seller replaced very quickly under warranty without any hassle at all. Replacement set had the same problem within a few weeks, too- sound in one ear becomes unreliable, goes in and out when the cable moves, then stops working entirely. Wiring issue? Would buy from this seller again, but not this manufacturer."
4,I really like these head phones. Got them for my 4 year old son who has a average size head and they work great. He uses them mostly for listening to movies in the car when we go on trips. I like the volume control on the wire of the head phones.
5,Bought these for my 10-year-old for Christmas this year as he was wanting Dr. Dre Beats and I was clearly not going to spend that kind of money on headphones for someone this age. These were surprisingly comfortable with decent sound and excellent noise reduction. Highly recommend these headphones at this price point. My son loves them!
