,AILIHEN I60 On Ear Headphones with Microphone for iPhone iPad Laptop Tablet Android Smartphones(Grey)
54,"Great product for the price. Very nice sound quality. They are comfortable to wear for long periods of time. If you are looking for something inexpensive with good sound quality, these are a nice option. Purchased for my son to plug into DVD players in the car. He loves them, and has no complaints."
55,"I have a friend at work that have the small Bose, so we compare them to these headsets and they more than held their own but the Bose are Bose with a little more bass and soft ear pads with glasses."
56,My son got these for Christmas last year and they barely lasted 3 months! Very disappointing!
57,Great headphones for my kids to use in school. The sound seems decent especially for the price. I like that these don't feel flimsy and would think they should last the school year. They fold up nice and fit nice for kids and adults.
58,"The headphones are amazing. They are comfortable, they bump and thump LOUD. The sound is crisp and clear and the noise cancellation is amazing. Also the color is even better and more vibrant than in the picture. My roommate has beats and he is a little jealous of how I got these for only 17$ which was a steal. Would highly recommend to anyone looking fro a pair of good headphones"
59,"Bought these for my son two months ago and the only time he used them was for 30 mins before bed with his ipad. Well, now there is only sound coming out of one ear. Hope to be able to return it and get my money back."
60,I've had these headphones for less than two months and they've already broken. I don't know why people bother making junk like this. What a waste of $20.
61,"Impressive bass response. Great price for comfortable headphones. Only thing missing was a operations manual to explain the inline switch for pause, play, etc. Found information online for a unit similar in design."
62,"These headphones are some of the best I have ever owned! I needed something for running and decided on these because they were cheap costing. I made a great decision! The sound is fantastic and they look great too! My friends compliment how cool my headphones look and have asked me where they can get some of the same kind. If you are on the fence about getting these, do it, it will be one of the best decisions you ever made!"
63,"Bought this as a gift for our daughter at Christmas, within 3 weeks the outer casing to the connector cracked and the metal connector fell out."
64,"These are really nice headphones that I use with my Roland keyboard. They have a strong, clear bass and mid and high ranges are also good. They fit comfortably and have a noise cancelling effect, even if they are not advertised that way. I could not be more pleased."
65,to be honest i never heared if this brand before. just got it 2 days ago. i like the headphones. very solid. the sound is great ( i use it daily). headphones could be folded and length could be adjusted on both sides. the microphone works great. well packaged - could be a good gift. i hope it will last for a long time :)
66,"As I said they are okay. They work, my grndson can use them but they are nothing like pictured. I would have returned them but they were a Christmas present and he used them immediately. Since they worked, I left it alone but I wasn't happy it wasn't as I ordered."
67,"Purchased these for my daughter for Christmas. She loves them. I tried them out myself and the sound is clear and the bass...beautiful!! I was hesitant because I'm not familiar with this brand. But, the reviews are good so I gave them shot. So far, so good."
68,"Great sound quality, they just kind of hurt my ears after a little while of wearing them. I didn't want to pay the shipping back so I will just give my ears a break now and then. Also works well with my Xbox one and can use as a mic."
69,Broke within a week. Returned.
70,"They are Ok, not very expensive so they will do. I bought them to use on my cell phone for conversations but they sound very tinny and it can be difficult to hear at times so I would not recommend them for this purpose. I tried them listening to music and they work well enough, I am not a big music critic and would not feel right spending big dollars for a headset so I am happy with them for this purpose. The folding option was appealing but even folded they take up a good deal of space so I don't think this is much of a benefit."
71,Horrible I try on 3 different devices all bad sound and you can't plug it all the in or sound only comes out of one side
72,"For the price, WOW ! Sound is great, I play it with my I-pod,and the sound is great, and if you like bass, well it has it, I'm a DJ and I really like these for the price, and good block out noise. Good job on these, Ailihen !"
73,Excellent head phones. My wife got these for using around the house. She said they do a great job of blocking out ambient sound and delivers a great sound for the music and games she plays. She even uses them to mow the yard.
74,We bought a pair of these and within less than two weeks the port/sound started going out. After some email discussion the seller replaced the headphones which also stopped working within a week the second pair. Didn't even bother asking for another pair bought skull candy instead
75,"These are the best headphones! Great sound and fits into all my devices.
The least thing I liked was getting it out of the box, What a terrific product!!!!!"
76,"Package came when promised. These headphones are for our 12 year- old grandson who lives in another state. From what his mother says, he loves them! He uses them with his iPhone 5C.. plugs them I,. listening to music. He said they are great!"
77,"It is seriously amazing! The sound and ass go so loud unlike my last pair of headphones, so this is definitely an improvement! And I love the mic so I don't have to take out my phone to answer, especially when it's cold. After a while it does feel a little bit pressure with my ears but I honestly just remove them and then put them back on my ear and the problem's solved. All in all, I would definitely recommend this product!"
78,"These headphones which I bought for my 11 year old son were a disappointment. They very quickly stopped working properly, he initially was not able to hear voices and they suddenly failed to work at all with the computer and eventually not with his Kindle either. At this time the cord also broke where it would be plugged in to a device. Overall a waste of money, luckily the price had been significantly reduced!"
79,"This headset is comfortable to wear. It looks neat.
The quality is not any less than the other Logitech headsets I've bought before
and the price is about half of those or less.
It is also great that you can fold it."
80,"Tight on the ears. I had too get used to them. About 4 months in the microphone began to be spotty and low volume, now 5 months in the right speaker is completely dead.."
81,"Seem sturdily made. Not real comfortable to wear, especially since it does not have any form of genuine padding where it sits on the top of the wearer head. Sound is a little tinney. However, the price was right."
82,"Bought these to replace a very expensive pair that got broken. I should have bought these to begin with. Good quality, they look really nice and my son likes them better than the $65 one he had."
83,These are great earphones for the price. I bought these to replace a pricier pair ($60+) that my kids broke and thought I might buy ones that were less expensive and easier to replace if broken again (LOL). I have been very pleased this these. The noise canceling is excellent and the sound clarity is very good. They are better than my previous pair that I spent 4x the money on. Excellent purchase for $
84,"The look and quality of product is really good. As far as sound quality goes the bass isn't really all that great. I guess that's expected for the price. But it's great to watch videos, movies, etc. I just gave mine to my son who uses on his phone for YouTube."
85,"I normally use it for conference calls and it works great. Superior sound quality. Easy folding option. The microphone has very good quality, and I use it to record some of my music. Been using it for five months and still works very well. Highly recommended."
86,I can't say I'm a fan of the ear cushions on the earphones. I feel like my head is overheating when I wear them.
87,"These headphones are so incredibly handy. I live in New York city and wish I could cancel out all of the noise when I walk around. These headphones do that, but also allow me to listen to music and talk on the phone without having to take the phone out of my pocket. Amazing."
88,"These are really great for the price. The only downside is that you have to have them in a ""sweet spot"" for maximum quality. But I suppose other headphones that don't completely cover your ears have the same fault."
89,I love them so much. Anyone who doesn't try them is a fool. The sound is beautiful & crystal clear. They are super comfortable. Don't be a fool with your 💰 try them. :) :):)
90,"Great headset, It fits perfectly and has great sound. I mostly use it for my cell phone, but may use it for other listening. Would recommend it to anyone."
91,"They're just OK. Ear part is kind of small, really made more for kids than adults. OK sound quality. They're not dissapointing for the <$20 price. Not many cheaper over-ear headphones available that work with phone calls, most gaming sets have a mic but it doesn't work for phone calls."
92,I bought these headphones for my 7 year old daughter and was very impressed. Very good headphones at a great price. Sound quality is great and so is the feel. I have Beats headphones wireless studio edition and while this doesn't sound as good as those they come pretty close and are 90% cheaper so don't hesitate if you want good headphones for a great price
93,"Got it for my son who plays Overwatch online. He's very happy with it.
The fidelity is fine for speech, no better than you'd expect for the price.
ear muffs might be too small if you have big ears."
94,"These headphones sound great, the cord doesn't tangle, and storage is easy, which makes it very easy to grab and go when I go to the gym with them. Also, they are very comfortable. No complaints here."
95,"For the price, these are great. I wish the mute button didn't require me to hold it and I can't hear myself talk as the mike doesn't send my voice to headset - but that is live-able. Otherwise, totally satisfied"
96,"I actually bought this so I could use it with my iPhone, thinking it would have the type of connection that fits my iPhone. It does not, although I can use it with my iPad. I am disappointed that I cannot use it with my iPhone. Had I known that I would not have bought it."
97, These have great sound. They adjust so they can be used by anyone. I use them for watching movies and listening to music on my laptop.
98,"Best Head Phones I have Heard, use them on my Kindle Fire HDX to listen to Great MUSIC. Very Crispy Sound, Great Bass."
99,Worked just fine for my daughter until today when she disconnected them from her iPad and the tip of the plug pulled free from the cord and is now lodged inside her (school owned) iPad. I will stick with a name brand product going forward rather than take my chances on these again. I'll update this review if the seller is willing to replace but no money will be spent on this brand again.
100,I purchased this for my husband to use while he is on dialysis and he loves it! Says the quality of sound is great. Now he sits at the computer with it too.
101,Items came broken
102,"For price, these are awesome. I bought 1 pair and ended up buying 2 more!"
103,"My experience with these are amazing. I tested these headphones with and handful of songs, and audio tests. They aren't lying when they say these are good quality headphones, with good bass. I also should mention how I got them replaced when they broke. All I had to do was email support and give them my order number, and they got it delivered. The person I talked to was also very kind. If your looking for affordable, great for their price headphones, these are it."
104,"Very impressed by these headphones. They are inexpensive, yet for the price sound really good. Great overall sound including pretty good base and excellent mids and highs. They are fairly comfortable and lightweight. I'm not sure the materials would hold up to workouts or other activity like that, but for normal everyday use it should last a long time. These are an excellent sounding choice for headphones if you don't want to spend of lot of money."
105,"I was really happy with these earphones until this week. All of a sudden they are causing Spotify to skip songs, prompting Siri, and disconnecting phone calls. I would understand if I had been hard on them, but I only use these at my desk."
106,"I am very impressed with the quality of sound that these AILIHEN I60 headphones produce. They are comparable to the more expensive ones. They provide a clear and natural sound. The headband is adjustable, and are foldable for maximum portability. The cord is sturdy looking. They are light weight and have very comfortable ear pads for many hours of use. I like that they block external noise effectively. There is a built-in microphone for hands-free phone calling and it picks up my voice without me talking directly into it. I am really happy with the purchase of these headphones."
107,My husband really likes these head phones but a wire broke in the first one we purchased only months after purchasing it so we ordered a second set and are hoping for better results.
108,These are very comfortable and allow me to be in my own musical haven. I use them in a very noisy workplace.
109,"These headphones truly sound great for under twenty bucks the highs are high and crisp the mids are right there in the bass is fantastic.
For te money.. These sound great for sure"
110,"I am a third grade elementary school teacher. One of my students needed to purchase a headset, so I helped him buy one. The choice was 100% his. He looked on the internet for two days until he finally chose his ""Gold Ailihen."" He thought it was the coolest one out there! I also explained to him that considering the quality, price, and technology he made a great choice."
111,"Robust sound for very reasonable price, good quality, fast delivery, will buy again!"
112,My 11 year old loves these. Only thing I can think of to make the experience better is having them be wireless. But we bought them as is! Still awesome!
113,I just got them an they are a Christmas present for my grandson so I really don't know how they will work. but will let you know little later.. thank you
114,For the price this is a very good set of headphones. The pair I purchased for my grandson has survived months of use and has outlasted similar other brands.
115,"I've had my AILIHEN I60 headphones for almost 2 weeks now and WOW!!! I'm blown away by the performance of them, the bass is great, sound is crystal, noise cancelation stupendous. I put these to a test by playing music from YouTube, my phones music, and a game all at the same time... I could hear everything so clear it's as if I was listening to each one separately. I give a 5 star and would buy another pair if needed."
116,Wire shorted in the microphones after 6 weeks. Sad because it was a gift to my boyfriend to use while he's deployed overseas in the air force.
117,"These are fine in terms of sound quality, but they seem to be sized for people with small heads. Even extended to their full length, they barely reach to the bottom of my ears. I have had plenty of other ""overhead"" headphones in the past and not had this issue."
118,"I love these headphones, I really do. My only problem is mine broke about 3 months after I got them. Music wouldn't play correctly and it fully depended on the angle of the cord. Up until this happened they were great -which is why I ended up buying another pair because I love the sound quality and mic on them. If this pair breaks again anytime soon, I'm just done with it."
119,"The headphones serve the purpose I needed.
They are light weight, decent sound and inexpensive."
120,"smooth transaction, quick shipping, awesome headphones, they are just what I needed!"
121,"I was a bit skeptical of these headphones, but they exceeded my expectations. They're really comfortable and the sound is excellent. They're cheap for great quality headphones. It came in with the original box and was well protected when shipped. Highly recommended for anyone!"
122,"Although this product is really comfortable even when you wear glasses, do not buy if you think you are going to be constantly moving/bending
the wire(walking). Wire broke within 2 months Not for active people. Im switching to wireless headphones."
123,"I was really excited to purchase these headphones (a big step up in quality from my normal headphones).

Unfortunately, the sound went out in less than a month. Going back to $15 Sony headphones."
124,I have had it for such a short time and already the left earphone has stopped working. No sound will come out. Disappointing.
125,LOVE THESE.. granted they are big like the old school ones but they are VERY comfortable and I personally had problems with the earbud type because they always fell out of one ear and I also did like the fact that you could hear the background noise.. My husband was behind me talking and the yelled and I STILL didnt hear him ( hey reason enough to buy them).. and the mic works great as well
126,It's not comfortable at all.. for small heads only.
127,These are great. I have beats as well and these sound just as good! I went back and ordered 4 i more for everyone in my family. Bonus.. I find them sooooo comfy
128,Very good set of headphone for under $20 I recommend them to anyone looking for a decent set of headphones in this price range
129,In-ear headphones are uncomfortable for kids. This are very comfortable plus have a mic. price is great and the sound very good. U got an extra pair.
130,"They're good, the cushions doesn't put strain on your ears . Its jus the drivers inside that makes the sound not so rich. But overall I'll recommend these. If you want these to sound they're best I recommend getting an equalizer"
131,"I like these but I bought a Hifi Elite headset at the same time. The bass/sound quality of the Hifi Elite is better, but these are good go leave near my PC for Skype etc."
132,"Used twice now, so far, so good! Headphones are just a little smaller than expected but it's not a huge deal."
133,"The ear size is too small and uncomfortable to wear, he sound is not good as expected"
134,"These headphones are great, the microphone is a massive increase in quality from my last one. Fairly comfortable as well for almost constant use. I can't really notice a difference in sound quality, but that is probably because I don't care or pay attention, but it does sound pretty good to me."
135,"Nice product, my kid was excited. He feels hood now because he knowwwwws not to ask for my Beats. Lol
They are loud, foldable, and stylish."
136,Lightweight. Sturdy. Use for professional radio shows on the road. Surprised at how good sound quality was on play back and record.
137,Had to return it due to poor sound quality.
138,"I bought these for work. They are very comfortable, I do wish that the cord could have been a foot longer, but it is not that big a deal."
139,Unfortunately the metal piece that inserts into the device broke off the first time these were used. We did buy others of the same (different colors though ) that work well! Giving 3 out of five because 2 out of three of our headphones were good.
140,The headphones are great. Can't beat the price.
141,"I love these. I have an issue with background noise making it very hard to hear while talking on phone. These drown out the noise and the voices are crystal clear. I have had great feedback from my listeners as well who say they can hear me crystal clear too. Over all I am very, very happy with this purchase. I have spent a lot more for a lot less product."
